报告日期,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,
基本每股收益(元),1.16,0.93,0.8,0.61,0.59,--,--,
每股净资产(元),--,--,--,1.59,--,--,--,
每股经营活动产生的现金流量净额(元),--,--,--,0.58,0.39,--,--,
主营业务收入(万元),125732,77247,59401,46266,39183,29889,20265,
主营业务利润(万元),106099,60830,48100,37024,31182,23524,15728,
营业利润(万元),57100,44079,35093,24298,21392,15968,10889,
投资收益(万元),667,2084,482,228,180,232,103,
营业外收支净额(万元),-202,-8,-60,1854,989,668,564,
利润总额(万元),56898,44070,35033,26152,22381,16637,11453,
净利润(万元),46549,37145,29556,21933,18851,13929,9681,
净利润(扣除非经常性损益后)(万元),42285,32470,26167,20129,17821,13452,9401,
经营活动产生的现金流量净额(万元),43388,33488,30870,20713,12344,15112,10651,
现金及现金等价物净增加额(万元),-3211,-6344,9137,1081,-6426,4191,4716,
总资产(万元),223877,166506,138834,71906,56132,54528,29619,
流动资产(万元),164771,133172,110832,45224,30056,33789,18659,
总负债(万元),48531,20722,14980,13893,11954,27092,7158,
流动负债(万元),42575,17655,11780,10709,8533,25928,6477,
股东权益不含少数股东权益(万元),172183,143989,122727,57390,43910,27124,22413,
净资产收益率加权(%),29.76,28.1,37.76,41.87,54.42,47.8,56.63,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
