报告日期,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31,2004-12-31,
基本每股收益(元),0.51,0.88,0.84,1.08,1.05,0.68,0.16,0.06,0.23,0.99,1.25,0.91,1.4,3.2,1.6,1.31,
每股净资产(元),--,--,--,--,--,--,--,--,4.78,4.93,3.72,3.73,5.77,6,3.6,1.82,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,-1.53,0.07,0.95,0.86,1.09,1.34,0.23,0.32,
主营业务收入(万元),3824455,2873061,2512946,2639583,3006210,1770422,1230848,1132419,1284313,1759552,1073836,645781,310303,153028,50553,24486,
主营业务利润(万元),716270,729971,743807,755977,780323,469854,252122,168471,209697,403591,277555,156449,91394,45881,13692,6152,
营业利润(万元),257140,371842,350868,329108,305088,205232,47560,13364,69781,269059,194692,114262,61002,31712,10943,4072,
投资收益(万元),133954,134644,121291,62186,36233,55980,37887,41097,51708,47620,21449,26562,117,53,223,118,
营业外收支净额(万元),-1030,-3599,-1812,26088,19595,5667,2995,7322,16662,10912,4364,2005,1661,25,223,132,
利润总额(万元),256111,368243,349056,355196,324683,210899,50555,20686,86443,279972,199056,116267,62663,31737,11166,4204,
净利润(万元),220985,321660,305466,300298,284950,182968,42765,15305,60671,228952,174558,91453,62960,31962,11230,4216,
净利润(扣除非经常性损益后)(万元),162143,287135,287046,284852,269724,173355,32368,9907,44817,218886,170402,90414,61337,31846,10842,3700,
经营活动产生的现金流量净额(万元),592878,312535,302345,310254,477613,282938,193005,249994,-413344,18641,132719,86352,54685,13390,2320,2206,
现金及现金等价物净增加额(万元),179540,-173417,-78028,138503,-338240,524753,-232803,-95030,-168777,478345,117255,60674,233133,4556,20197,-1077,
总资产(万元),10305708,8136405,7278784,6443716,5257240,4577733,3436965,3194352,3194764,2806158,1488295,1106521,546757,120379,62641,28424,
流动资产(万元),4844417,3291750,3308133,3309662,2528664,2809489,1929281,2312037,2488424,2250005,1128572,906068,491368,103738,55902,23275,
总负债(万元),7083283,5488893,4931284,4373837,3518180,3055032,2057671,1865790,1867913,1443068,935569,697317,251866,59902,26120,15700,
流动负债(万元),4956890,3160059,2960032,2466298,2095889,2231976,1153780,1181343,1523036,1212016,688226,558389,229057,50685,22824,12940,
股东权益不含少数股东权益(万元),3067512,2496122,2268669,1997615,1676145,1476779,1336753,1290265,1287406,1328899,520106,373030,288325,59992,36031,12725,
净资产收益率加权(%),7.94,14.03,15.04,16.87,18.13,13,3.25,1.19,4.64,32.75,39.56,27.72,74.98,70.17,70.9,64.04,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
