报告日期,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31,2004-12-31,2003-12-31,2002-12-31,2001-12-31,2000-12-31,1999-12-31,1998-12-31,1997-12-31,1996-12-31,1995-12-31,1994-12-31,1993-12-31,
基本每股收益(元),0.09,0.07,0.05,0.04,0.03,0.03,0.03,0.03,0.02,0.03,0.04,0.02,0.11,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
每股净资产(元),--,--,--,--,--,--,--,--,1.21,1.19,1.15,1.11,1.22,1.03,1.37,2.04,3.43,3.32,3.83,3.16,3.13,2.87,1.75,2.98,1.89,1.62,1.37,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,-0.55,0.14,0.91,0.53,-0.24,-0.04,0.7,0.46,0.27,-1.03,-0.62,-0.5,0.24,-0.67,--,--,--,--,--,
主营业务收入(万元),637685,701257,666135,491908,462309,435866,522771,467190,445358,372085,248302,285137,321460,342081,270202,302203,188844,167400,109015,104460,59781,30346,35747,21185,10394,13105,11330,
主营业务利润(万元),37933,55410,54332,31018,37067,12262,27726,23254,23635,29839,21365,19457,27292,31915,18720,24302,28293,28707,16970,9763,6698,3326,2663,1443,1084,1455,--,
营业利润(万元),12972,19455,17200,5590,9279,2680,6341,3492,2996,6463,2348,-1448,935,14070,-2648,3131,9108,14990,8667,2954,3122,841,3171,1899,1539,1525,--,
投资收益(万元),6206,-1386,-1417,1622,-2157,17886,210,8765,3786,488,-265,-347,52,509,-2938,-1718,1153,-15,810,1257,474,4201,694,899,162,47,--,
营业外收支净额(万元),-425,-135,200,4106,-268,548,696,-53,494,-113,2816,4837,--,-507,-15984,-124,-96,-292,-56,54,43,--,0,0,-8,--,--,
利润总额(万元),12547,19320,17400,9696,9011,3228,7037,3439,3490,6350,5165,3389,10080,14139,-21518,2014,10831,15012,9967,4822,5405,5115,3923,2858,1636,1628,--,
净利润(万元),4113,3312,2455,1657,1216,1208,1406,1387,1138,1575,2050,1007,5142,2008,-22482,-2150,3061,2835,3306,3160,4773,4304,3250,2485,1364,1393,1404,
净利润(扣除非经常性损益后)(万元),4299,3005,41,-2436,-4278,-22100,-5110,-7415,-2954,1733,-4378,-3955,1494,1081,-5995,2707,2248,3204,2956,3077,2947,--,--,--,--,--,--,
经营活动产生的现金流量净额(万元),149333,78708,30323,24073,42843,-21945,-17680,13582,-25540,6675,42569,24655,-11157,-1659,23570,15527,5655,-21658,-10967,-8140,3932,-10857,--,--,--,--,--,
现金及现金等价物净增加额(万元),54439,-11055,1937,16159,5428,-57196,26938,10122,-11696,77,19898,-7069,20533,-1715,3431,-1443,-2623,4268,8087,7057,5583,-2643,--,--,--,--,--,
总资产(万元),853994,777260,704741,675669,715301,592692,549579,492914,375990,338546,300359,314399,333544,292638,294883,302318,299917,277908,198361,153339,127363,105473,57160,40175,26637,21576,--,
流动资产(万元),573802,518939,440574,412291,451957,343128,343722,298921,317393,294917,268038,290830,307949,260457,255569,270530,263805,--,0,0,0,80866,51812,33461,21481,16915,--,
总负债(万元),682712,619667,558164,535042,579154,449331,404186,356576,306180,270932,235331,251899,255497,225725,236925,215555,203544,192186,121568,99936,74954,58218,34153,20705,17177,13480,--,
流动负债(万元),501211,404415,446838,418713,404710,302281,317462,293438,265054,239027,205743,225320,192915,202587,219386,200309,183497,--,0,0,0,49488,31381,17241,13220,12369,--,
股东权益不含少数股东权益(万元),134555,130343,127031,124622,122968,125847,124358,122933,56310,55174,53514,51459,56892,47860,46265,68747,72285,70015,67180,51573,51128,46899,22455,19286,9460,8097,7679,
净资产收益率加权(%),3.11,2.57,1.95,1.34,0.99,0.97,1.14,1.88,2.04,2.9,3.91,1.91,9.47,4.27,-39.09,3.76,4.27,4.13,5.09,5.99,0,14,--,0,--,--,--,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
