报告日期,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,
基本每股收益(元),0.38,0.31,0.38,0.34,0.28,0.32,0.25,0.22,0.4,
每股净资产(元),--,--,--,--,--,1.83,1.59,1.47,1.87,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,0.49,0.13,0.1,0.06,
主营业务收入(万元),64883,56520,52207,48808,41868,41200,34911,29067,28039,
主营业务利润(万元),20029,17250,18064,16306,14354,14312,12335,10019,11535,
营业利润(万元),9422,7773,9262,8279,6285,5827,4730,3748,5705,
投资收益(万元),544,559,899,342,269,4,4,3,--,
营业外收支净额(万元),36,-13,46,37,-90,195,51,156,-35,
利润总额(万元),9458,7760,9308,8316,6195,6021,4781,3905,5670,
净利润(万元),8011,6504,8041,7079,5175,5089,3996,3448,4976,
净利润(扣除非经常性损益后)(万元),7069,5731,7090,6756,5020,4924,4101,3458,5017,
经营活动产生的现金流量净额(万元),8814,6920,3255,8168,6176,7676,1978,1629,622,
现金及现金等价物净增加额(万元),4046,3852,1671,-15713,25006,-343,917,398,1610,
总资产(万元),121040,101113,90007,85196,83224,56957,53503,43406,36496,
流动资产(万元),78819,61673,59078,58158,57201,33145,31442,25524,24526,
总负债(万元),38968,25767,18225,15746,20557,28156,28494,20260,16572,
流动负债(万元),37961,24907,17385,14911,20168,27387,27648,19980,16572,
股东权益不含少数股东权益(万元),82072,75346,71782,65944,59130,28801,25010,23147,19657,
净资产收益率加权(%),10.34,8.84,11.64,11.39,11.32,18.92,16.04,16.1,47.16,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
