报告日期,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31,2004-12-31,2003-12-31,2002-12-31,2001-12-31,2000-12-31,1999-12-31,
基本每股收益(元),0.56,0.33,0.05,0.09,-0.43,0.03,0.03,0.01,0.14,0.01,0.04,0.7,1.25,--,--,--,--,--,--,--,--,
每股净资产(元),--,--,--,--,--,--,--,--,8.47,8.43,8.67,8.88,5.5,4.55,3.9,3.31,3.22,3.07,1.86,1.59,1.56,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,0.24,-0.68,0.25,-0.1,0.39,-0.08,0.82,0.41,0.42,0.32,0.13,0.44,0.22,
主营业务收入(万元),418762,341019,287639,251048,214211,248123,237256,233622,292093,256410,231543,227232,232006,172093,115507,62663,38416,34641,32546,29229,21352,
主营业务利润(万元),82090,64022,50349,48015,37857,44267,38568,41187,49918,24694,18014,53523,73011,41571,30763,13943,9343,9067,7893,7431,5142,
营业利润(万元),31648,20046,4471,957,-19288,507,-487,840,10564,457,1570,36636,60635,39535,20096,9301,5634,5093,4520,4000,2103,
投资收益(万元),1,-17,-230,-524,-629,-126,397,-449,28,-255,633,1091,173,0,0,-1158,1463,-164,0,--,0,
营业外收支净额(万元),872,-894,1024,3321,1538,1498,2480,876,285,480,637,515,-60,-178,-74,-15,3,-80,-77,9,0,
利润总额(万元),32520,19152,5495,4278,-17750,2004,1993,1716,10850,937,2207,37151,60575,39357,20023,8128,7100,4850,4442,4009,2101,
净利润(万元),24001,14109,2148,3686,-18678,1193,1166,585,6169,346,1643,30073,50903,34191,15847,6804,6016,4102,3776,4009,2101,
净利润(扣除非经常性损益后)(万元),20590,11138,-959,-3317,-19678,74,-841,-164,5940,-78,1098,29663,50954,29465,15923,7571,4428,4309,0,--,0,
经营活动产生的现金流量净额(万元),5266,37583,21581,-12733,3120,26083,-12278,-16363,10350,-29400,10751,-4455,15913,-3151,16435,8145,8422,6385,1752,--,0,
现金及现金等价物净增加额(万元),-27623,39760,690,-15651,1508,38052,8789,-9114,-10385,-54512,-11971,56904,11776,44158,2914,1318,2032,12785,-3403,--,0,
总资产(万元),810140,727555,689964,693603,697279,693637,658880,629659,595120,551391,532860,498569,322248,254700,146345,109033,96550,92324,59443,59014,56341,
流动资产(万元),549832,460566,415822,406340,389905,364423,323306,307059,286723,291808,327769,377209,251980,180693,107519,74205,74835,70822,0,38975,0,
总负债(万元),403257,341807,316807,320210,324616,300546,265401,242683,210532,171450,148405,105098,88043,66699,68319,42852,32171,30960,33358,36704,34440,
流动负债(万元),227602,323916,182350,189894,191026,164711,238805,222947,179383,150865,101457,92796,78043,56699,68319,42852,32171,30960,0,27704,0,
股东权益不含少数股东权益(万元),373425,354453,342492,342556,341021,361787,361959,362944,364510,362643,373059,382168,223826,185106,78026,66181,64379,61364,26086,22310,21901,
净资产收益率加权(%),6.6,4.05,0.63,1.08,-5.32,0.33,0.32,0.16,1.7,0.1,0.44,8.2,24.89,30.68,22.08,10.42,9.65,8.38,13.58,--,16.37,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
