报告日期,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31,2004-12-31,2003-12-31,2002-12-31,2001-12-31,
基本每股收益(元),0.01,-0.34,-0.14,0.02,-0.62,0.01,0.07,0.04,0.16,0.11,-0.19,0.03,0.33,--,--,--,--,--,--,
每股净资产(元),--,--,--,--,--,--,--,1.69,2.17,2.02,1.92,3.82,3.93,2.66,3.14,4.7,2.15,1.66,1.09,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,0.03,-0.18,0.6,0.45,0.99,0.22,0.26,-0.9,0.66,1.15,0.61,0,
主营业务收入(万元),70676,114127,100245,64426,72706,112336,127493,97646,115652,90370,36854,47935,82852,76366,68507,47600,36741,31147,22590,
主营业务利润(万元),11660,20830,17071,8848,7856,21466,26545,18764,26211,19281,4774,9253,22254,19813,16822,11578,10090,8464,6869,
营业利润(万元),-7042,-22480,-9279,903,-47564,-2262,3580,1880,7872,5894,-6992,-534,8193,8189,6752,4681,4619,4138,3095,
投资收益(万元),11746,2600,--,15524,-1678,956,1749,1364,802,-136,9,55,259,845,194,-13,14,-51,0,
营业外收支净额(万元),8244,-381,396,632,89,3839,1726,1220,647,954,-394,2000,1378,-157,113,-50,-138,0,0,
利润总额(万元),1202,-22861,-8883,1535,-47475,1577,5306,3101,8519,6848,-7386,1466,9571,8985,7059,4762,4615,4481,3028,
净利润(万元),1026,-23783,-9321,1556,-42803,302,4238,2013,7068,5004,-8619,680,7170,7165,5529,3475,2981,3418,2352,
净利润(扣除非经常性损益后)(万元),-19512,-29974,-9537,-14102,-32545,2109,2749,1138,6605,4170,-8225,-1342,5335,5766,4200,2461,0,0,0,
经营活动产生的现金流量净额(万元),3114,1914,4262,-421,-8834,33670,5567,1671,-7658,26397,19482,24600,5420,4700,-12405,5598,6885,0,0,
现金及现金等价物净增加额(万元),34482,-6343,-20339,241,-81461,56387,3332,-1735,-25496,1997,14007,12723,29632,-12380,10705,32378,2815,0,0,
总资产(万元),116444,134686,175774,174581,164607,408178,330205,292266,261216,234132,198744,165623,162756,110928,119894,93188,41556,30809,21345,
流动资产(万元),80603,86882,114686,121424,87035,317507,228992,187616,185452,175522,152024,121884,125895,81297,92619,69056,24970,18219,12088,
总负债(万元),45567,64777,81260,70656,61612,253813,219382,184226,154404,140300,110901,67341,66749,61430,74627,52149,28305,20660,14670,
流动负债(万元),45205,59746,81260,59356,60957,253435,218917,183673,154362,138246,107341,64841,66749,61430,72627,49649,26305,18660,13934,
股东权益不含少数股东权益(万元),70876,69909,93686,102958,101765,142998,98058,95776,94875,88408,83881,95044,95445,47574,43267,40431,12918,9937,6519,
净资产收益率加权(%),1,-28.76,-9.48,1.52,-35.2,0.31,4.32,2.1,7.69,5.79,-9.52,0.72,12.28,15.29,13.21,0,26.09,41.54,44.48,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
