报告日期,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31,2004-12-31,2003-12-31,2002-12-31,2001-12-31,2000-12-31,1999-12-31,1998-12-31,1997-12-31,
基本每股收益(元),0.09,0.07,0.05,0.05,0.11,0.19,0.19,0.2,0.31,0.46,0.63,0.43,0.56,--,--,--,--,--,--,--,--,--,--,
每股净资产(元),--,--,--,--,--,--,--,--,7.63,7.41,6.23,5.56,5.26,4.61,4.54,4.41,4.26,3.94,3.82,1.77,1.52,--,--,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,-0.46,-0.01,0.39,0.71,-0.06,0.56,0.59,0.15,0.29,0.5,0.02,0,--,--,--,
主营业务收入(万元),278773,257406,211026,168209,169198,217848,218611,231955,243289,220737,195881,210711,164034,132561,116933,93964,63709,50646,45044,40870,37198,33177,31405,
主营业务利润(万元),36458,35751,31949,31306,30066,32384,30484,26313,25427,27444,28919,26100,20417,20113,15645,14972,13261,11927,10332,9731,8306,7899,7045,
营业利润(万元),5391,8541,7222,6237,6074,8397,5516,4323,5758,8990,10298,7204,8818,6353,4729,5564,5242,5191,4287,3704,3215,3628,3422,
投资收益(万元),579,2788,172,361,1112,1327,14,78,50,400,52,-2426,4793,478,-5,-307,-70,-806,-218,246,313,321,286,
营业外收支净额(万元),4872,-283,-195,812,3033,454,378,-15,332,-285,46,-64,--,-190,-63,371,-98,-52,-101,0,-36,-36,-74,
利润总额(万元),10263,8258,7027,7049,9107,8850,5894,4308,6090,8705,10344,7139,9098,6646,4724,5627,5074,4334,3968,3796,3604,4127,3696,
净利润(万元),8297,6211,4696,4444,6616,5929,3988,2782,4243,5984,7592,5205,6756,4000,2926,3266,3580,2842,2563,2318,2092,2545,2242,
净利润(扣除非经常性损益后)(万元),3679,4321,4154,3586,3092,4528,3674,2824,4014,6032,7576,6470,6510,3588,2936,3242,3578,3653,2978,2476,1995,--,--,
经营活动产生的现金流量净额(万元),14369,4845,2525,5294,14364,7125,2790,11691,-6287,-90,4696,8503,-681,6673,7096,1794,3528,5977,218,8491,1714,--,--,
现金及现金等价物净增加额(万元),3522,7639,-4894,1234,-10348,5596,-6714,10478,-7915,-12099,19161,5345,476,-3275,8076,772,-8778,-69,18718,3136,1888,--,--,
总资产(万元),301810,291863,286289,268063,264766,266882,226416,197485,186692,184671,177965,150351,140665,119731,115348,104057,87424,70321,66167,39298,34498,25506,19834,
流动资产(万元),148804,138595,133272,133198,133391,164303,136373,134427,125434,123227,117625,92853,94353,77931,74452,61897,52710,--,0,0,21136,15233,12277,
总负债(万元),81233,81615,78727,63434,62582,70573,100064,77503,71884,72860,94007,74950,68819,55942,52581,42771,27674,17175,17018,22667,20154,16138,12647,
流动负债(万元),75400,77463,74641,56978,55499,64690,82323,75827,71776,72451,70173,74568,68605,55814,52483,42771,27674,--,0,0,17704,14338,12647,
股东权益不含少数股东权益(万元),202866,192371,187952,185081,183008,178411,110111,107145,105468,102338,74792,66746,63100,55268,54444,52955,51123,47283,45856,13306,11367,7680,6116,
净资产收益率加权(%),4.15,3.26,2.52,2.41,3.64,3.59,3.64,2.63,4.1,6.62,10.97,8.02,11.17,7.35,5.45,6.32,7.22,6.01,6.21,18.54,23.77,--,--,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
