报告日期,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31,2004-12-31,2003-12-31,2002-12-31,2001-12-31,2000-12-31,1999-12-31,1998-12-31,1997-12-31,1996-12-31,1995-12-31,1994-12-31,
基本每股收益(元),2.61,2.2,1.91,1.46,1.31,1.09,0.97,0.82,0.78,0.68,0.37,0.45,0.88,--,--,--,--,--,--,--,--,--,--,--,--,--,
每股净资产(元),--,--,--,--,--,--,--,--,7.97,7.29,6.66,6.34,6,5.26,4.73,4.11,3.31,3.79,3.56,3.15,2.9,2.46,1.5,0.86,0.58,--,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,1.2,1.17,0.61,0.78,0.69,0.76,0.77,0.52,0.52,0.71,0.61,0.54,0.47,0.46,--,--,--,--,
主营业务收入(万元),1094467,931311,806238,695147,628540,575088,521513,472041,461121,418641,333834,335077,314425,295522,268079,235202,177728,137097,115653,86790,74821,63545,53389,46712,36253,31475,
主营业务利润(万元),559438,479159,399541,307780,275507,239248,217565,168576,162941,146064,91248,116604,170094,170922,152561,131146,92439,72590,60357,51131,59556,49960,31163,27524,22077,19750,
营业利润(万元),667459,563444,484161,371747,332486,280565,251058,205693,194449,166773,87372,107340,194822,150408,137565,122661,71474,70085,60038,56118,66334,55396,38581,35987,30225,26784,
投资收益(万元),114991,89325,97480,72968,60847,59245,53573,59094,56852,49411,26802,17437,36602,23443,23173,24604,2731,1926,6836,8202,3558,7629,574,547,502,380,
营业外收支净额(万元),-701,-453,-0,20,5558,44,428,4894,-76,127,-179,-434,--,-65,6,21,46,-492,-160,-208,-95,0,0,0,0,3,
利润总额(万元),666758,562991,484161,371767,338044,280610,251486,210587,194373,166901,87193,106906,194622,173786,160744,147286,76466,71519,66713,64172,69797,64694,39141,36540,30727,27167,
净利润(万元),503021,423143,368341,280565,253143,209554,187285,158106,149959,131071,70634,85971,169498,151342,138921,129165,64379,60568,56676,54520,59448,54966,32198,30062,25286,22345,
净利润(扣除非经常性损益后)(万元),498482,423460,368493,280510,248978,209521,186842,154432,150019,130866,70767,86323,169667,151036,138879,125004,54059,59720,56836,54460,59553,--,--,--,--,--,
经营活动产生的现金流量净额(万元),488505,446752,411402,257478,320737,298093,284881,218242,232163,224752,118448,149484,132021,146695,148413,100787,95741,100151,86162,74146,63866,62553,--,--,--,--,
现金及现金等价物净增加额(万元),159428,155,-120232,-44727,145366,228416,188004,138063,200602,103202,-2,8982,-4348,-17448,-57516,-91693,62737,23896,-65260,110992,7959,-18969,--,--,--,--,
总资产(万元),3717123,3092873,2754740,2694365,2563941,2301506,2091833,1940884,1891995,1750177,1695989,1728110,1604310,1205714,957269,818491,708952,673700,661796,765011,414243,351288,105617,73554,57275,36689,
流动资产(万元),1246783,1063669,1007961,1122429,1163360,998075,760809,571170,446988,258291,188654,160236,129905,136470,122290,167773,249792,--,142556,227432,92413,107548,34500,31058,28454,29113,
总负债(万元),472150,229422,206663,431949,494170,418979,367109,335602,342928,329638,400135,497539,443347,191324,46162,27035,94488,138896,159681,329388,23007,19501,15884,22174,22652,16203,
流动负债(万元),471494,228672,205805,431733,243893,169133,117422,86168,94275,81214,151927,249538,195540,191306,45945,26607,33420,--,84650,224367,21645,17908,13715,19018,18815,11303,
股东权益不含少数股东权益(万元),3200442,2824601,2513221,2229666,2031960,1846261,1694516,1578528,1536040,1405350,1283274,1222163,1155461,1014390,911107,791456,614464,534804,502115,435623,391235,331788,89733,51380,34623,20486,
净资产收益率加权(%),16.7,15.85,15.53,13.17,13.05,11.77,11.36,10.03,10.17,9.74,5.63,7.22,15.62,15.6,16.35,18.54,11.15,11.37,11.76,13.01,--,18.96,0,69.91,91.77,--,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
