报告日期,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31,2004-12-31,2003-12-31,2002-12-31,2001-12-31,2000-12-31,1999-12-31,1998-12-31,1997-12-31,
基本每股收益(元),0.24,0.28,0.13,0.04,0.05,0.31,0.14,0.28,0.51,0.56,0.56,0.55,0.45,--,--,--,--,--,--,--,--,--,--,
每股净资产(元),--,--,--,--,--,--,--,--,3.48,3.12,3.39,3.27,2.72,2.32,2.07,1.84,1.95,1.54,1.42,1.7,0.27,--,--,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,0.28,0.42,0.86,0.47,0.57,0.03,0.37,0.45,0.59,0.56,0.34,-0.1,-0.03,--,--,
主营业务收入(万元),1404160,1290456,813746,419435,482524,671727,480528,371524,456111,378945,310081,203315,190947,185590,226486,235114,241417,239787,207183,71993,14786,12704,10955,
主营业务利润(万元),420026,438911,284277,115100,124283,208861,163950,108167,142921,115933,90367,72766,63480,35077,35991,51185,49306,48855,43843,19341,7110,--,--,
营业利润(万元),191395,231536,95462,-1833,5684,169689,97072,108765,113641,88367,63829,56291,50771,18027,17987,29901,34094,37521,35404,15819,4131,--,--,
投资收益(万元),-3084,-1739,-1657,321,580,62761,18941,46678,11621,1688,1583,488,3537,2325,15,102,224,33,205,1607,--,--,--,
营业外收支净额(万元),-13861,-2608,-5620,26032,24605,21857,2276,15759,7726,3217,5762,1695,--,1226,265,936,385,-916,3,190,1,--,--,
利润总额(万元),177534,228928,89842,24199,30289,191545,99348,124524,121367,91584,69591,57986,51523,21578,18277,30940,34703,36637,35612,17616,4132,--,--,
净利润(万元),160216,174381,65538,20560,24839,163804,75108,96400,97663,68838,53740,47725,39023,18286,19372,22577,29794,31543,30412,14791,3429,3531,2568,
净利润(扣除非经常性损益后)(万元),170476,171059,74665,1225,1559,82419,63385,49886,81263,65567,48614,46045,36989,17023,18771,21354,29314,32459,30218,14559,--,--,--,
经营活动产生的现金流量净额(万元),407318,414047,246225,137511,69036,54387,-23347,40749,54134,51938,82040,40663,49524,2234,31631,39288,42857,40733,20293,-3509,7226,--,--,
现金及现金等价物净增加额(万元),-63938,20632,-58233,11172,-27346,107941,-24416,-108816,220810,-7254,49264,-36521,33448,-4019,-2750,-17065,-4130,8,20010,29533,-376,--,--,
总资产(万元),4862015,4833902,4480576,4333267,4087086,3763626,2895969,2321233,1885145,1268262,920968,485535,454111,405739,469380,453412,469637,300508,211411,111663,32301,--,--,
流动资产(万元),895576,525354,443789,432015,498402,586807,448208,552624,505323,252885,321485,157664,150041,187582,258733,271170,312170,--,--,84375,10628,--,--,
总负债(万元),3199599,3105238,3049415,3032815,2817154,2504916,1879155,1446002,1065371,762750,483112,188538,204930,174413,282330,286441,320703,183549,116006,47462,15497,--,--,
流动负债(万元),1901047,1749041,1660665,1705979,1489374,1275685,1119599,701043,264204,279072,304050,166403,195444,148644,242343,231978,257265,--,--,44462,11897,--,--,
股东权益不含少数股东权益(万元),1595294,1516128,1162646,1113263,1087592,1080132,931873,809880,678259,386702,322489,283585,235861,200806,179429,159731,140868,110992,85270,60165,16610,13181,12624,
净资产收益率加权(%),10.38,12.56,5.77,1.86,2.3,16.38,8.95,12.96,18.43,19.45,16.4,18.38,17.71,9.7,11.43,14.92,23.66,32.47,40.81,35.03,--,--,--,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
