报告日期,2020-12-31,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,
基本每股收益(元),0.04,-1.46,-0.17,0.05,0,0.01,0.03,0.1,0.2,0.18,0.32,0.51,0.41,0.44,0.28,
每股净资产(元),--,--,--,--,--,--,--,--,5.38,5.22,5.09,4.9,--,--,--,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,--,-0.36,-0.54,0.2,0.13,0.29,1.18,
主营业务收入(万元),31456,38306,48744,53205,52024,44174,59758,56423,48625,53839,47065,33168,30041,26235,19305,
主营业务利润(万元),7164,8992,12387,13133,15214,12549,12711,14353,11383,9769,10711,9342,7125,6239,4702,
营业利润(万元),1379,-27570,-1782,73,1295,375,990,3287,2677,1390,3664,4316,3404,3535,2364,
投资收益(万元),3349,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业外收支净额(万元),-147,-425,-147,92,-822,224,61,-14,5,235,151,351,232,--,81,
利润总额(万元),1232,-27995,-1929,166,473,599,1051,3273,2682,1625,3815,4667,3636,3809,2445,
净利润(万元),731,-29149,-3375,1065,88,259,546,2089,1997,1827,3187,3854,3010,3296,2137,
净利润(扣除非经常性损益后)(万元),-3055,-28864,-3409,768,794,76,511,2104,1896,1627,3054,3565,--,--,--,
经营活动产生的现金流量净额(万元),2760,1957,7851,8138,8960,10442,2905,488,13717,-3614,-5418,1995,1010,2212,1184,
现金及现金等价物净增加额(万元),1804,-871,-3401,2063,-2945,4035,-7819,5075,-7938,-9493,-11162,31458,-863,2056,255,
总资产(万元),62652,65465,95789,109270,112568,119718,95459,103973,76311,76681,69696,60683,23130,20983,15525,
流动资产(万元),23408,22816,24417,33451,34662,38703,40469,55686,41210,55613,58837,53994,17277,15541,10647,
总负债(万元),48447,51429,52512,60165,64553,63093,36363,45109,19348,21632,15782,11089,9370,10589,7124,
流动负债(万元),48447,51429,52462,59344,60799,56406,26742,38669,17348,21632,15782,11089,9370,10539,6722,
股东权益不含少数股东权益(万元),14205,14036,43277,49105,48015,55720,55728,55289,53837,52184,50879,48981,13387,10132,8097,
净资产收益率加权(%),5.18,-101.72,-7.31,2.19,0.16,0.43,0.99,3.86,3.77,3.56,6.3,25.17,25.87,33.92,29.82,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
