报告日期,2020-12-31,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,
基本每股收益(元),0.78,0.88,0.91,1.28,1.17,0.67,0.12,-0.05,
每股净资产(元),--,--,--,--,4.24,7.95,1.21,0.82,
每股经营活动产生的现金流量净额(元),--,--,--,--,0.65,1.24,-0.02,1.64,
主营业务收入(万元),84054,88285,41102,37871,29781,15984,7076,3574,
主营业务利润(万元),24685,18197,10879,10968,9512,5302,1429,327,
营业利润(万元),17737,10712,5811,7112,5986,3121,497,-0,
投资收益(万元),3498,388,687,--,--,--,--,--,
营业外收支净额(万元),-4,1019,987,214,475,21,17,-0,
利润总额(万元),17733,11731,6797,7327,6461,3142,513,-0,
净利润(万元),15660,10379,5793,6273,5557,2680,400,-5,
净利润(扣除非经常性损益后)(万元),11929,8801,4028,6091,5154,2663,387,-5,
经营活动产生的现金流量净额(万元),19353,13646,-6169,4936,3185,1413,-17,164,
现金及现金等价物净增加额(万元),6466,-15932,18982,637,112,1517,146,-17,
总资产(万元),294049,162977,108131,38453,24785,13061,3292,1030,
流动资产(万元),69047,36767,65443,16624,11913,6768,2048,844,
总负债(万元),163989,94186,50989,12533,4012,3980,2080,947,
流动负债(万元),111937,53149,44338,12312,3886,3980,2080,947,
股东权益不含少数股东权益(万元),129731,68590,57142,25921,20773,9080,1212,82,
净资产收益率加权(%),18.8,16.62,11.1,26.58,35.4,105.01,48.69,-6.07,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
