报告日期,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,
基本每股收益(元),0.76,0.74,0.57,0.59,0.63,0.58,0.41,0.38,0.44,0.43,
每股净资产(元),4.7,4.2,3.7,3.34,2.6,3.56,2.99,2.8,2.49,2.05,
每股经营活动产生的现金流量净额(元),0.15,--,--,--,--,--,0.26,0.58,0.29,0.32,
主营业务收入(万元),33381,36212,29940,26005,24111,25427,21535,19324,19226,16647,
主营业务利润(万元),11612,11462,9778,9109,8522,8098,6402,5927,6176,6059,
营业利润(万元),7167,6888,5516,5395,5494,4951,3452,3224,3555,3702,
投资收益(万元),59,35,51,27,203,127,35,32,13,-82,
营业外收支净额(万元),44,222,13,88,103,140,188,107,311,15,
利润总额(万元),7212,7110,5529,5483,5597,5091,3640,3331,3866,3717,
净利润(万元),6257,6154,4706,4652,4750,4324,3088,2829,3283,3215,
净利润(扣除非经常性损益后)(万元),6131,5909,4618,4554,4489,4099,2928,2738,3007,3273,
经营活动产生的现金流量净额(万元),1208,3375,4396,4352,6392,4793,1957,4383,2207,2427,
现金及现金等价物净增加额(万元),-934,-560,-275,1366,-301,851,-526,774,-1405,530,
总资产(万元),56937,42371,34597,29374,25448,30379,25929,22046,23892,19959,
流动资产(万元),24548,22772,19474,16813,13030,17695,13595,9923,11869,8485,
总负债(万元),18040,7663,3975,1753,5970,3643,3517,1072,5240,4589,
流动负债(万元),10667,2170,3822,1602,5846,3500,3336,972,5240,4589,
股东权益不含少数股东权益(万元),38897,34708,30622,27621,19478,26736,22412,20974,18652,15369,
净资产收益率加权(%),17.16,19.04,16.22,19.67,20.41,17.6,14.24,14.43,19.3,21.78,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
