报告日期,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,
基本每股收益(元),0.91,0.14,0.48,1.45,1.62,1.59,1.36,1.13,0.95,
每股净资产(元),--,--,--,--,9.03,7.41,5.82,4.46,3.24,
每股经营活动产生的现金流量净额(元),--,--,--,--,0.56,0.98,0.46,0.79,0.83,
主营业务收入(万元),116487,75995,87737,71393,61512,52263,46105,34757,30493,
主营业务利润(万元),39828,14079,20823,18525,16494,15677,12868,10981,9036,
营业利润(万元),24174,3496,12271,12070,10516,10395,9054,7648,6132,
投资收益(万元),198,-62,184,359,--,--,--,--,34,
营业外收支净额(万元),221,55,483,732,532,425,282,110,131,
利润总额(万元),24395,3551,12754,12803,11047,10820,9336,7758,6263,
净利润(万元),21286,3183,11109,10529,9445,9240,7936,6575,5257,
净利润(扣除非经常性损益后)(万元),20287,2233,9879,9601,8965,8880,7696,6481,5118,
经营活动产生的现金流量净额(万元),10948,32063,-7294,632,3267,5721,2674,4594,4626,
现金及现金等价物净增加额(万元),1614,15054,-4872,5631,-224,1832,-3601,-830,9661,
总资产(万元),166518,137953,140236,119733,68800,55834,45657,32605,28362,
流动资产(万元),117102,96442,101695,90811,52400,42254,33578,27776,27151,
总负债(万元),33719,24376,31465,20179,16229,12708,11771,6654,10358,
流动负债(万元),32590,23802,31066,19552,15447,11786,10914,6484,10358,
股东权益不含少数股东权益(万元),132799,113578,108771,99555,52571,43126,33886,25950,18004,
净资产收益率加权(%),17.22,2.81,10.69,12.36,19.74,24,26.53,29.16,38.66,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
