报告日期,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,
基本每股收益(元),0.53,0.68,0.66,0.74,0.48,0.44,0.35,0.31,
每股净资产(元),--,--,--,3.17,2.43,3.12,2.55,2.88,
每股经营活动产生的现金流量净额(元),--,--,--,0.77,0.97,0.59,0.43,1.47,
主营业务收入(万元),67271,63729,57804,49297,43548,43216,39109,29327,
主营业务利润(万元),16935,15210,14440,13147,10213,9673,8540,5869,
营业利润(万元),8777,7994,6532,5664,3446,3151,2512,1510,
投资收益(万元),296,-73,161,46,12,45,--,--,
营业外收支净额(万元),-52,-30,35,734,475,345,357,1027,
利润总额(万元),8726,7964,6567,6397,3921,3496,2869,2538,
净利润(万元),7504,6879,5628,5517,3379,3042,2476,2350,
净利润(扣除非经常性损益后)(万元),6957,5964,5336,5093,3058,2870,2297,1599,
经营活动产生的现金流量净额(万元),6895,10154,6703,5803,7286,3159,2300,8800,
现金及现金等价物净增加额(万元),7330,5614,7365,1861,1344,-530,713,-580,
总资产(万元),91255,84412,73939,46056,43559,43596,35527,28120,
流动资产(万元),57958,56682,57485,29127,26014,25163,20994,15333,
总负债(万元),32091,31943,26960,22296,25316,26893,21866,10868,
流动负债(万元),32054,31897,26906,22232,25242,26806,21839,10822,
股东权益不含少数股东权益(万元),59164,52469,46979,23760,18243,16703,13661,17252,
净资产收益率加权(%),13.48,13.93,16.85,26.27,19.96,20.04,19.15,14.61,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
