报告日期,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,
基本每股收益(元),1.11,1.01,1.1,1.46,1.18,1.08,0.84,0.79,--,
每股净资产(元),--,--,--,--,3.73,--,--,--,--,
每股经营活动产生的现金流量净额(元),--,--,--,--,1.34,0.93,0.82,0.96,--,
主营业务收入(万元),46088,43241,36186,28621,23004,21701,18089,18391,15994,
主营业务利润(万元),24697,23149,20509,16301,12810,12142,9983,10192,7816,
营业利润(万元),20118,18390,15100,11933,8751,8002,6335,6327,4636,
投资收益(万元),2150,2190,1372,326,446,373,228,243,16,
营业外收支净额(万元),43,-18,316,208,656,679,451,72,16,
利润总额(万元),20162,18372,15416,12141,9408,8681,6786,6399,4651,
净利润(万元),17373,15710,13165,10320,8162,7430,5794,5434,3962,
净利润(扣除非经常性损益后)(万元),14733,13505,11649,9860,--,--,--,--,--,
经营活动产生的现金流量净额(万元),17471,13713,12395,11351,9263,6435,5628,6608,4959,
现金及现金等价物净增加额(万元),6274,11439,-36758,29024,3481,3428,1207,6412,-2966,
总资产(万元),115576,103946,89023,71332,30784,28701,23955,27010,23363,
流动资产(万元),99844,88438,74428,58846,24923,22635,18036,22208,16435,
总负债(万元),16399,16881,16794,8380,5045,5262,4910,13758,5654,
流动负债(万元),14907,15466,15459,7728,4340,4530,4428,13521,5362,
股东权益不含少数股东权益(万元),99176,87065,72230,62951,25739,23439,19045,13252,17709,
净资产收益率加权(%),19,19.72,19.62,37.36,33.04,35.34,35.88,42.25,24.11,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
