报告日期,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31,2004-12-31,2003-12-31,2002-12-31,2001-12-31,2000-12-31,
基本每股收益(元),-0.14,0.6,0.73,0.47,0.37,0.38,0.37,0.32,0.55,0.81,0.61,0.31,0.22,--,--,--,--,--,--,--,
每股净资产(元),--,--,--,--,--,--,--,--,5.11,5.03,2.75,2.16,1.87,1.65,1.5,2.03,1.83,1.08,1.05,1.01,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,0.44,0.63,1.19,0.6,0.23,0.46,0.22,-0.04,0.1,0.58,0,0,
主营业务收入(万元),1177926,1225183,1184495,889788,724479,655359,563282,488266,428632,343113,251001,197204,169280,127540,131785,101563,58648,49915,38712,17441,
主营业务利润(万元),190140,226224,213251,173115,143400,125845,103675,92909,91263,83186,64206,46612,36270,27991,23596,25403,20258,19375,14604,6391,
营业利润(万元),17906,67548,69658,46812,37503,33912,26273,27222,38297,46696,37954,21304,14823,12583,9073,12623,9632,11287,8497,4024,
投资收益(万元),1814,3956,3957,5530,4098,2801,2901,2363,1655,1084,715,195,223,-251,-301,-521,-292,-292,-292,-52,
营业外收支净额(万元),904,250,873,2025,1325,1936,2572,1714,846,1018,283,-2,98,51,0,-88,-49,0,0,0,
利润总额(万元),18810,67797,70531,48837,38828,35848,28845,28935,39143,47714,38237,21302,14921,12520,8833,12068,9355,10949,8082,3944,
净利润(万元),-6984,27204,33104,21303,13748,13712,13454,11735,19863,25194,18983,9746,6964,4847,2838,4895,2857,4203,2986,1926,
净利润(扣除非经常性损益后)(万元),-10940,22185,30039,19619,12890,12399,11530,10426,17972,24555,18646,9801,6919,4683,2798,4886,2841,4320,3024,1955,
经营活动产生的现金流量净额(万元),21430,34300,76286,55917,55597,74231,23069,46573,15841,22649,37114,18675,7160,14470,6732,-1024,2509,9956,0,0,
现金及现金等价物净增加额(万元),-5737,35996,34104,-30055,30343,45137,-4945,-16716,-17742,84338,8453,5467,-89,-2343,73,-11722,20303,3967,0,0,
总资产(万元),1422648,1327390,1185120,1001463,888517,751789,666403,599665,533521,417326,262199,205327,184328,159605,150419,137031,115572,70450,59504,47481,
流动资产(万元),793932,756365,684544,566754,521081,438244,400545,372496,353807,322332,192001,141854,125973,104368,99156,90156,79096,45947,40341,30067,
总负债(万元),767153,749355,650257,519906,452565,458687,393372,343856,277925,172429,124860,95321,88020,75576,76752,65306,56013,42924,33951,23966,
流动负债(万元),632035,614825,608345,498182,335091,349050,387013,287046,217758,158736,115120,95270,87989,75576,76702,65141,55744,39751,30605,23797,
股东权益不含少数股东权益(万元),461543,397492,378674,349897,331020,201699,192340,182022,184956,181946,85751,67494,58240,51365,46645,48748,43882,18575,18065,17426,
净资产收益率加权(%),-1.62,6.99,9.07,6.24,6.34,6.96,7.19,6.35,10.64,25.95,24.7,15.49,12.81,9.88,5.94,10.57,9.26,20.84,15.78,10.66,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
