报告日期,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,
基本每股收益(元),0.23,0.53,1.32,0.93,0.65,1.5,1.52,
每股净资产(元),--,--,--,4.2,2.96,1.91,4.03,
每股经营活动产生的现金流量净额(元),--,--,--,0.97,0.42,0.78,0.95,
主营业务收入(万元),40319,50887,43683,31676,23569,16314,12182,
主营业务利润(万元),16290,20723,19658,12629,9287,7556,5763,
营业利润(万元),4379,9836,9924,6096,4303,3608,2991,
投资收益(万元),161,440,-38,-36,2,--,--,
营业外收支净额(万元),18,71,400,367,-83,129,22,
利润总额(万元),4396,9907,10324,6464,4220,3737,3013,
净利润(万元),3672,8275,8459,5444,3636,3125,2315,
净利润(扣除非经常性损益后)(万元),3378,7654,8105,5159,3768,3040,2300,
经营活动产生的现金流量净额(万元),5797,2029,8532,5697,2312,3973,1720,
现金及现金等价物净增加额(万元),-5802,2562,17649,4784,1932,562,-1794,
总资产(万元),88090,82665,79797,39905,30134,22748,16000,
流动资产(万元),56728,54273,58308,23228,15607,10643,8352,
总负债(万元),22334,19004,19751,13406,11962,11725,8576,
流动负债(万元),21049,15554,18195,12418,11078,11409,8200,
股东权益不含少数股东权益(万元),64888,63661,58039,24747,16431,9649,7327,
净资产收益率加权(%),5.76,13.61,24.1,24.86,27.19,34.85,50.24,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
