报告日期,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,
基本每股收益(元),0.17,0.34,0.4,0.4,0.41,--,--,
每股净资产(元),--,--,--,--,--,--,--,
每股经营活动产生的现金流量净额(元),--,--,--,0.48,0.3,--,--,
主营业务收入(万元),147218,112007,98846,79969,58446,43595,49886,
主营业务利润(万元),25771,22371,16882,15476,13285,10896,7720,
营业利润(万元),3032,7122,7236,6357,6716,5004,2679,
投资收益(万元),17,286,-16,-131,-7,21,--,
营业外收支净额(万元),23,203,302,678,505,-22,16,
利润总额(万元),3055,7325,7538,7036,7222,4982,2695,
净利润(万元),3463,6899,6562,6044,6215,4335,2338,
净利润(扣除非经常性损益后)(万元),1943,5810,5592,5467,5835,4336,2324,
经营活动产生的现金流量净额(万元),4550,6081,620,7265,4526,8553,-74,
现金及现金等价物净增加额(万元),7423,-550,2519,654,26,297,-525,
总资产(万元),271085,150415,120462,81600,70514,43091,34013,
流动资产(万元),110955,65559,69388,41717,36115,22210,17614,
总负债(万元),169780,84916,58877,54808,49801,25901,21161,
流动负债(万元),151758,83485,56671,52435,49058,25826,21131,
股东权益不含少数股东权益(万元),101182,65499,61585,26792,20714,17190,12853,
净资产收益率加权(%),4.49,10.9,17.67,25.45,35.82,28.86,26.95,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
