报告日期,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,
基本每股收益(元),0.07,0.12,0.2,0.26,0.19,0.24,0.63,0.95,1.08,1.47,0.9,0.85,0.52,
每股净资产(元),--,--,--,--,--,--,--,--,11.15,21.14,2.62,2.15,1.35,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,0.07,0.72,0.56,0.05,-0.35,
主营业务收入(万元),1292399,1849414,1833039,631998,198277,130582,173775,161245,109961,63288,37877,25613,11334,
主营业务利润(万元),103446,144190,171395,110183,71390,48242,63454,56845,37334,21747,12718,6885,2710,
营业利润(万元),28679,63725,105040,53219,26873,16262,35695,36165,22756,12036,7016,4091,1811,
投资收益(万元),2365,5529,7966,1824,1712,1551,885,--,--,--,--,--,--,
营业外收支净额(万元),322,10,-122,492,590,715,1057,474,441,163,207,-22,0,
利润总额(万元),29000,63735,104917,53711,27464,16977,36752,36639,23197,12198,7222,4069,1811,
净利润(万元),20756,36942,61283,36171,19397,12318,27419,27284,17319,9080,5406,3027,1207,
净利润(扣除非经常性损益后)(万元),16569,30380,55854,35244,18290,10614,25978,26932,16991,8959,5252,3054,1207,
经营活动产生的现金流量净额(万元),9971,-59118,-88208,-61224,19960,-4412,-3281,30280,1152,5778,3364,233,-1239,
现金及现金等价物净增加额(万元),-23338,12985,-11434,54181,-11677,-20484,-71410,9222,-35017,149995,982,3017,1716,
总资产(万元),1131562,1016629,1033059,719470,366986,294843,263067,247844,216248,189788,25622,16302,7369,
流动资产(万元),870784,790169,867203,582695,234159,216364,211076,205358,201210,183682,22007,15991,7249,
总负债(万元),554998,457134,436005,197169,134510,78168,52315,50112,37799,20657,9886,5467,2561,
流动负债(万元),452983,431389,401852,162423,65151,43553,52315,50112,37799,20657,9886,5467,2561,
股东权益不含少数股东权益(万元),544347,528820,560611,511277,230747,216590,210752,197733,178449,169130,15736,10835,4808,
净资产收益率加权(%),3.87,6.81,11.34,12.54,8.69,5.78,13.58,14.56,10.08,28.11,40.56,47.88,40.85,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
