报告日期,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31,2004-12-31,2003-12-31,2002-12-31,2001-12-31,2000-12-31,1999-12-31,
基本每股收益(元),0.01,-0.05,0.02,-0.07,0.01,-0.13,0.04,-0.39,-0.14,0.06,-0.51,-0.62,0.01,--,--,--,--,--,--,--,--,
每股净资产(元),--,--,--,--,--,--,--,--,0.49,0.63,0.57,1.11,1.7,1.68,2.5,4.34,4.13,2.16,1.97,1.59,1.51,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,-0.06,-0.05,-0.01,0.06,0.15,0.34,0.02,0.05,--,0.26,0.35,0.29,0.19,
主营业务收入(万元),25115,22452,43449,45541,50641,41541,45242,54298,52870,36330,24021,32794,78965,53919,46200,37338,23116,9901,9406,8144,6418,
主营业务利润(万元),4432,4100,7437,4541,8207,4327,6798,7953,7087,4318,1866,3301,17193,11868,13142,11473,10096,5842,5671,4950,4058,
营业利润(万元),957,-2070,438,-5021,699,-5728,-2288,-8506,-3801,-6271,-15075,-16255,2461,-1569,2422,2605,3239,2404,2585,2395,1996,
投资收益(万元),284,488,2529,797,1138,262,--,-78,-48,2325,2208,718,1714,-47,-38,-99,-4,-8,--,4,--,
营业外收支净额(万元),84,-46,-55,169,263,-731,3650,-1608,535,7994,372,-903,--,76,353,-146,32,13,-24,-15,-23,
利润总额(万元),1041,-2116,384,-4852,961,-6459,1363,-10114,-3266,1723,-14703,-17158,3146,-1096,2795,2359,3267,2408,2562,2384,1973,
净利润(万元),577,-2161,885,-3186,405,-4920,1069,-10957,-3904,1640,-14296,-17320,258,-3022,1774,1621,2809,2369,2459,1561,1622,
净利润(扣除非经常性损益后)(万元),-1073,-2700,-1831,-4103,-913,-4228,-2500,-9282,-4189,-8610,-16924,-16416,-2006,-3096,1403,1783,2771,1991,--,--,--,
经营活动产生的现金流量净额(万元),-544,-3375,3612,-1859,-654,-4105,-495,-2409,-1595,-1471,-220,1734,4260,9345,294,594,-43,1701,2335,--,--,
现金及现金等价物净增加额(万元),11330,-6659,11345,-6393,-20011,28784,908,666,-1615,-2018,5450,-2480,-14482,-3391,10211,-9910,19726,-505,881,--,--,
总资产(万元),75005,76338,77675,95771,98402,99116,69074,61398,69654,70676,94342,120721,130820,130111,126765,104519,74021,23522,20666,19598,16695,
流动资产(万元),46248,52815,57613,57992,59126,59608,30490,24840,24633,23931,28761,23064,31850,49552,52785,31635,41114,10474,11226,9682,6954,
总负债(万元),10444,12582,11757,26893,24618,26157,57921,52238,50493,48129,73606,88178,81531,77173,71635,52305,26134,8769,7651,9050,6783,
流动负债(万元),10444,12582,11747,26029,23578,25061,57756,52051,50284,47713,72101,85573,77144,74688,67140,43205,19122,8769,6649,9050,6783,
股东权益不含少数股东权益(万元),64561,63756,65918,65032,68219,67813,4448,2815,13771,17676,15830,30956,47540,47009,49855,48081,45714,14204,12942,10483,9909,
净资产收益率加权(%),0.9,-3.33,1.35,-4.78,0.6,-11.76,31.92,-132.12,-24.83,9.73,-60.05,-44.55,0.54,-6.25,3.62,3.45,6.7,16.77,21,--,--,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
