报告日期,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31,2004-12-31,
基本每股收益(元),0.31,0.28,0.37,0.54,1,0.9,0.94,0.93,1.14,1.39,1.13,1.16,1.95,--,0.35,0.3,
每股净资产(元),--,--,--,--,--,--,--,--,5.48,5.87,4.85,4.66,7.2,2.27,1.36,0.85,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,1.12,0.35,0.74,1.08,1.7,0.57,0.44,0.48,
主营业务收入(万元),649627,545898,438358,442365,397294,315191,251590,216841,208947,172421,148874,119998,78090,40273,23440,17888,
主营业务利润(万元),248414,221427,179385,203044,201887,167995,133925,109346,100374,82591,61968,52890,35996,20841,11604,8533,
营业利润(万元),103611,90700,113126,82148,82421,70804,61347,50725,50300,45383,33844,29635,19659,8351,3357,2264,
投资收益(万元),7532,10397,51095,5256,4839,5422,949,-828,-54,--,--,--,0,6,37,--,
营业外收支净额(万元),-216,-732,-926,18101,22929,20883,16246,14034,9161,7173,8455,6674,--,1881,927,1054,
利润总额(万元),103395,89969,112200,100249,105350,91687,77594,64758,59461,52556,42299,36309,25835,10232,4284,3319,
净利润(万元),75798,67030,89949,84397,89847,80745,70508,57863,50653,47513,38793,33155,23157,9014,3701,3022,
净利润(扣除非经常性损益后)(万元),64018,53732,41266,73152,82428,72298,63406,55803,48889,46387,36646,31996,21439,8734,--,--,
经营活动产生的现金流量净额(万元),92865,96693,67245,111184,85757,110864,71529,85690,49819,11892,25475,30659,24187,6047,4647,4836,
现金及现金等价物净增加额(万元),21797,53288,49606,71442,-99,84682,-35866,78732,21723,-8705,11198,18961,63942,3504,3823,3828,
总资产(万元),1418721,1344022,1269122,1190655,770018,664431,505517,402043,337761,277393,221841,207798,161353,59807,35594,25324,
流动资产(万元),970528,935050,896911,814790,639690,585055,445644,350079,285386,242103,194124,186372,150227,54276,33505,23576,
总负债(万元),427564,393062,320698,303670,293697,231728,143448,102665,91659,74775,54350,73327,58648,35604,21050,16814,
流动负债(万元),418936,382062,309000,292412,286528,227943,138796,98538,88731,73117,53315,72186,57539,34574,20683,13290,
股东权益不含少数股东权益(万元),905293,868699,889091,837556,450995,414728,348541,296824,243688,200785,166087,133001,102705,24203,14545,8510,
净资产收益率加权(%),8.59,7.48,10.29,11.82,20.98,21.24,21.95,21.46,22.8,26.13,26.02,28.19,43.78,47.31,--,--,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
