报告日期,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,
基本每股收益(元),0.13,0.6,0.8,0.9,1.79,0.98,0.05,
每股净资产(元),--,--,--,9.19,6.5,6.07,5.09,
每股经营活动产生的现金流量净额(元),--,--,--,0.47,4.35,4.06,0.56,
主营业务收入(万元),297375,315632,248654,199789,264423,175810,87038,
主营业务利润(万元),51636,36333,35452,32390,36470,25957,11857,
营业利润(万元),2025,8116,6020,6378,14221,8201,294,
投资收益(万元),--,--,--,11,2,5,--,
营业外收支净额(万元),138,7,40,253,41,189,140,
利润总额(万元),2163,8123,6060,6632,14262,8390,435,
净利润(万元),2175,7678,6060,6632,12283,7361,389,
净利润(扣除非经常性损益后)(万元),-639,4280,5529,6406,12252,7200,269,
经营活动产生的现金流量净额(万元),15939,-16718,19792,3449,28519,30413,4173,
现金及现金等价物净增加额(万元),10655,-36605,37282,4613,1194,3483,-1952,
总资产(万元),289450,274411,235126,164264,134831,126503,64460,
流动资产(万元),169704,177622,169335,111256,96836,101582,53059,
总负债(万元),171143,161662,128926,96813,92246,80975,26291,
流动负债(万元),155478,157192,124579,95477,91750,80736,26141,
股东权益不含少数股东权益(万元),118306,112749,106200,67451,42585,45528,38169,
净资产收益率加权(%),1.9,7.01,8.28,11.13,27.88,17.59,1.01,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
