报告日期,2020-12-31,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,
基本每股收益(元),0.23,0.07,0.23,0.57,1.09,1,0.96,0.88,0.78,0.83,
每股净资产(元),--,--,--,--,--,5.34,4.65,3.9,3.14,2.48,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,1.25,1.03,0.78,0.57,0.51,
主营业务收入(万元),63093,57969,61130,53996,37007,32027,24670,20643,20037,19656,
主营业务利润(万元),13054,10545,14434,15126,13055,10725,9062,7615,7770,7855,
营业利润(万元),3872,1605,5782,9345,7795,6985,5450,4504,4556,5243,
投资收益(万元),272,63,5,-2,--,--,--,--,--,--,
营业外收支净额(万元),524,16,4,264,602,359,523,738,172,-64,
利润总额(万元),4397,1620,5786,9609,8397,7344,5973,5243,4728,5179,
净利润(万元),3861,1138,3636,6454,5890,5018,4796,4400,3880,4173,
净利润(扣除非经常性损益后)(万元),2208,765,3375,5784,--,4681,4363,3771,3747,4200,
经营活动产生的现金流量净额(万元),14955,20131,4767,13414,--,6272,5148,3906,2827,2557,
现金及现金等价物净增加额(万元),3196,5802,-19994,9524,--,3080,59,723,540,-190,
总资产(万元),137822,118214,119620,126781,70083,48174,40628,33808,23844,20964,
流动资产(万元),60173,56284,53935,66243,45193,27733,21959,18093,14002,14029,
总负债(万元),48092,35125,46512,56787,9824,16607,14050,13776,8087,8529,
流动负债(万元),43581,25319,28745,39821,8851,14695,11190,11811,7777,8419,
股东权益不含少数股东权益(万元),81363,74444,63683,62618,54533,26691,23273,19479,15678,12398,
净资产收益率加权(%),5.04,1.71,5.8,11.46,--,20.52,22.79,25.05,27.58,45.81,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
