报告日期,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,
基本每股收益(元),0.57,0.54,0.21,0.24,0.3,0.1,0.02,
每股净资产(元),4.15,3.58,3.17,3.36,1.7,1.4,1.29,
每股经营活动产生的现金流量净额(元),0.26,--,--,--,--,0.57,0.37,
主营业务收入(万元),88541,79461,54063,38695,38254,31459,26280,
主营业务利润(万元),29138,26817,21555,15666,12975,10454,9822,
营业利润(万元),13969,11558,4404,5067,5521,1800,122,
投资收益(万元),1731,1694,-632,112,743,-220,31,
营业外收支净额(万元),-37,-33,-47,196,187,41,659,
利润总额(万元),13932,11525,4357,5263,5708,1842,781,
净利润(万元),13031,12266,4748,4664,4797,1522,232,
净利润(扣除非经常性损益后)(万元),10499,10308,4279,3953,4122,1454,-409,
经营活动产生的现金流量净额(万元),6013,8126,4318,7726,7502,8541,5510,
现金及现金等价物净增加额(万元),8763,-23794,9631,25592,4943,-2673,1200,
总资产(万元),158836,150887,146320,119128,52079,43111,43369,
流动资产(万元),117804,114972,111773,78750,26098,22285,28719,
总负债(万元),46208,50277,52629,31082,17614,22159,24003,
流动负债(万元),37723,42582,51151,29473,16171,20772,22481,
股东权益不含少数股东权益(万元),95170,82083,72680,76983,29465,20953,19366,
净资产收益率加权(%),14.71,16.13,6.74,9.62,17.83,7.56,1.21,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
