报告日期,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31,2004-12-31,2003-12-31,2002-12-31,2001-12-31,2000-12-31,1999-12-31,1998-12-31,1997-12-31,1996-12-31,
基本每股收益(元),0.26,0.25,0.3,0.07,0.1,0.01,0.51,0.97,1.32,2.07,1.39,2.49,0.73,--,--,--,--,--,--,--,--,--,--,--,
每股净资产(元),--,--,--,--,--,--,--,--,6.17,10.13,8.23,7.14,4.61,4.14,3.79,4.71,3.97,3.93,3.82,3.59,3.25,--,--,--,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,1.32,3.02,4.3,2.6,1.74,1.24,0.82,1.67,1.26,0.87,0.87,0.27,0.07,--,--,--,
主营业务收入(万元),2174005,2145841,2038175,1363566,1253701,1825685,2583370,3007240,3756908,3028916,2024554,927589,530165,369468,320945,240921,128591,139916,116451,89191,80372,87008,88148,85385,
主营业务利润(万元),447139,513428,446618,270007,125874,343866,590683,804382,896887,742190,516451,442950,185673,134983,136181,94898,43608,51274,44978,36855,37592,40057,40465,38037,
营业利润(万元),204919,174762,176789,27428,1801,-11363,161179,299554,399287,303878,229934,280378,84817,64872,80541,53642,22331,27087,24287,21738,19881,21825,22072,20681,
投资收益(万元),21542,14323,7214,-2436,199745,20920,6817,5311,7904,-19549,50,11,-134,-30,0,0,0,0,0,0,0,--,71,16,
营业外收支净额(万元),-27007,-29740,-23672,10056,13763,4140,15161,18461,18293,28230,-4989,-3071,--,-860,-3686,-3036,-3570,-575,11,23,-132,-99,0,0,
利润总额(万元),177912,145022,153116,37484,15564,-7224,176340,318014,417580,332108,224946,277307,84057,65401,78361,50637,19568,27135,24996,22310,19748,21726,21869,21134,
净利润(万元),90137,87202,106434,24398,35181,2437,118400,225056,304934,239616,160649,196407,57104,48332,53279,38126,13678,18842,25314,18921,13995,14557,14652,14160,
净利润(扣除非经常性损益后)(万元),91711,94863,110224,23101,-149884,166,114347,210765,291292,237769,112453,201500,61087,48880,53591,40013,12997,18609,25293,14864,13968,--,--,--,
经营活动产生的现金流量净额(万元),346217,310402,423686,-24406,105076,195209,544410,246155,304739,349163,497774,205150,137114,97458,64436,70906,53454,36988,36902,11420,3064,--,--,--,
现金及现金等价物净增加额(万元),394270,122485,197202,-46493,93516,-5977,-42655,-126444,297523,111,118314,14376,19556,11348,-12472,29502,-783,-24961,4852,-24442,59878,--,--,--,
总资产(万元),4545837,4576615,4577873,4351669,4070810,4172354,4110192,4010752,3805319,2522857,2111038,1111055,625044,498764,399528,363985,253957,242038,239307,213330,181848,63690,63951,60980,
流动资产(万元),1827669,1898126,1796028,1554743,1435069,1390238,1432643,1615643,1611059,874971,649326,422758,220365,150287,118643,114787,70385,--,0,0,0,29044,26789,23233,
总负债(万元),2253143,2418771,2495849,2342396,2074412,2096100,2302332,2188161,2178387,1275812,1087676,485086,245436,164518,102934,164021,85334,75014,77030,60545,43716,33981,34336,31643,
流动负债(万元),1313778,1477826,1459715,1519773,1482378,1288311,1599769,1390583,1384085,1016741,725190,360334,231180,158105,100792,92113,82334,--,0,0,0,30727,29664,27227,
股东权益不含少数股东权益(万元),2044188,1989811,1929387,1857437,1835731,1836857,1545541,1496886,1427343,1171018,951905,562520,363083,325498,296544,199964,168622,167024,162276,152785,138132,29710,29615,29337,
净资产收益率加权(%),4.46,4.45,5.62,1.32,1.92,0.15,7.83,15.27,22.96,22.38,18.32,41.76,16.79,15.79,21.41,20.84,8.07,11.23,15.72,12.61,21.57,--,--,--,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
