报告日期,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31,2004-12-31,2003-12-31,2002-12-31,2001-12-31,2000-12-31,1999-12-31,1998-12-31,1997-12-31,1996-12-31,1995-12-31,1994-12-31,1993-12-31,1992-12-31,1991-12-31,1990-12-31,
基本每股收益(元),0.05,-2.27,0.04,0.61,0.5,0.1,0.11,0.13,0.12,0.22,0.21,0.19,0.24,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
每股净资产(元),--,--,--,--,2.48,--,--,--,1.37,2.25,2.04,1.81,2.17,2.01,1.96,1.91,1.82,1.67,1.6,1.67,1.54,1.72,2.25,1.76,1.77,1.86,1.6,1,--,--,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,0.14,1.42,0.31,0.56,0.73,0.72,0.82,-0.45,0.15,0.06,0.13,0.18,0.39,0.11,--,--,--,--,--,--,--,--,
主营业务收入(万元),72980,111966,118994,147864,115084,140172,132695,120510,97694,85322,71380,61576,50873,45222,45028,40845,33830,33055,30502,29366,28571,27938,23555,21243,17138,15539,19873,12535,11213,8510,
主营业务利润(万元),12444,18630,30944,71352,49074,52009,47415,40171,30160,27326,23456,20445,17446,13983,13584,11937,10768,10947,10020,8767,9314,9468,1234,1263,1611,2031,2626,1380,1233,875,
营业利润(万元),-10523,-298992,9452,48177,34195,4025,3995,4515,4553,5097,5030,4493,3780,661,1211,1396,2334,2423,1829,1638,1354,1858,1291,1136,1552,0,2662,1384,1239,866,
投资收益(万元),22268,-181,-19,304,332,-95,-147,-679,-505,131,-9,-90,889,567,384,153,-66,33,529,702,771,1125,387,98,36,352,40,0,0,4,
营业外收支净额(万元),21083,119424,-1679,5941,1721,371,257,95,202,105,100,-54,--,-37,8,10,-10,-66,-71,-78,-3,0,0,0,0,-0,0,--,--,--,
利润总额(万元),10560,-179568,7774,54118,35917,4396,4252,4610,4754,5202,5130,4438,4208,1255,1629,1559,2259,2390,2287,2262,2122,3000,3788,648,1580,2323,2535,1378,1241,866,
净利润(万元),6714,-174133,5505,46532,30061,2886,3275,3636,3575,4176,4070,3719,3582,1029,1515,1435,2055,1936,1945,2025,1762,2508,3226,549,1344,1957,2123,1171,1055,736,
净利润(扣除非经常性损益后)(万元),-35481,-329969,3254,42932,28832,2145,2053,3556,3226,4072,3985,3759,2390,203,-319,317,1862,1794,1508,2092,1755,--,--,--,--,--,0,--,--,--,
经营活动产生的现金流量净额(万元),22153,-913,39421,-10347,27727,13778,-4122,6813,4035,27502,6047,10829,10860,10758,12185,-6675,2173,940,1885,2641,5750,1578,--,--,--,--,--,--,--,--,
现金及现金等价物净增加额(万元),6036,-1176,-32014,-31838,56959,3421,-8645,2829,1052,-14386,2832,12834,630,932,-251,362,-3711,2210,1442,991,4084,-2061,--,--,--,--,--,--,--,--,
总资产(万元),368684,435209,664882,683570,582651,204958,198169,151246,157195,131583,121791,103235,88005,83726,82318,73351,47345,45034,35719,40835,35788,40702,33180,27151,27081,25979,24203,17703,--,--,
流动资产(万元),148812,187276,252032,266094,197514,123584,119292,87845,106014,71034,74903,58950,40659,35513,34504,37442,25088,--,--,0,0,30188,23762,18148,18141,17377,15753,10375,--,--,
总负债(万元),292353,365688,399244,423934,370446,165201,155374,108051,117558,86605,80831,66751,54185,52215,52525,44155,20233,20115,11746,15859,12694,13413,10816,12440,13678,11863,12010,11113,--,--,
流动负债(万元),242430,279189,238034,222779,135963,144200,126140,88135,98300,71605,59598,56193,44007,52148,42459,34089,15166,--,--,0,0,14000,11269,12378,13587,11203,9662,7842,--,--,
股东权益不含少数股东权益(万元),74177,67463,263477,257971,211480,39707,42895,43351,39715,43618,39446,34951,32221,29879,29167,28476,27055,24782,23860,24852,22979,25584,22364,14712,13403,14115,12147,6590,--,--,
净资产收益率加权(%),9.21,-112.69,2.1,19.82,19.97,7.52,7.57,8.76,9.36,10.05,10.94,11.03,11.8,3.47,5.18,5.16,7.76,7.82,8.26,8.49,7.67,10.46,--,0,0,0,0,--,--,--,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
