报告日期,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,
基本每股收益(元),0.21,0.77,1.23,0.67,0.52,0.73,1.29,1.1,0.98,0.87,0.59,0.49,
每股净资产(元),--,--,--,--,--,--,--,4.39,3.29,2.32,3.4,2.93,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,-1.62,-0.53,0.13,-0.21,0.16,
主营业务收入(万元),795664,884290,477874,256770,188886,108819,80539,70281,63799,49241,31322,19887,
主营业务利润(万元),186781,219517,136896,69113,49611,28226,22125,19262,16109,13052,8383,5269,
营业利润(万元),43937,92239,60744,29640,19937,14124,11560,9933,9549,8355,4901,2958,
投资收益(万元),103,1304,573,4,--,--,--,--,--,-6,0,0,
营业外收支净额(万元),-704,684,209,1238,342,-43,89,65,234,-105,-0,-16,
利润总额(万元),43233,92923,60953,30877,20279,14081,11649,9997,9783,8250,4901,2942,
净利润(万元),32767,77870,50928,26080,16795,11701,9663,8253,7329,6123,3538,2200,
净利润(扣除非经常性损益后)(万元),32449,76919,50726,25026,16504,11737,9586,8197,7155,6124,3353,2047,
经营活动产生的现金流量净额(万元),126951,11571,-52124,-7499,-13733,-19184,-3150,-12133,-4003,1001,-648,332,
现金及现金等价物净增加额(万元),38483,73184,48942,19604,-6,16097,-118,-2396,4909,810,2621,-65,
总资产(万元),1954577,1638483,1092616,533730,363566,191349,120460,86997,58570,33390,23371,10224,
流动资产(万元),1275616,1093410,684034,317927,235211,149873,95534,69937,55793,31308,21734,9334,
总负债(万元),1434540,1175494,719800,267508,267528,116035,77847,54046,33873,16021,12993,4216,
流动负债(万元),1289939,1037660,632893,216033,222398,109935,77837,54046,33873,16021,12773,4216,
股东权益不含少数股东权益(万元),488097,450467,362209,265750,95868,75315,42614,32951,24698,17369,10312,5954,
净资产收益率加权(%),7.04,19.38,17.51,12.87,19.87,17.74,25.58,28.63,34.85,44.56,42.4,45.33,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
