报告日期,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31,2004-12-31,2003-12-31,2002-12-31,2001-12-31,2000-12-31,
基本每股收益(元),0.94,0.93,0.79,0.6,0.53,0.53,0.66,0.67,0.81,0.93,0.98,0.49,0.58,--,--,--,--,--,--,--,
每股净资产(元),--,--,--,--,--,--,--,--,2.79,4.28,4.12,3.84,3.62,3.84,3.43,3.15,5.56,2.22,1.51,0,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,0.41,0.57,0.58,0.57,0.55,0.73,0.43,0.56,0.62,0.49,0.47,0,
主营业务收入(万元),3242359,2854037,2419791,1141528,967801,890700,957563,602793,466002,248209,177869,110730,108153,89571,74924,47431,37251,34853,28483,23753,
主营业务利润(万元),913629,794318,696773,253179,236326,235729,251030,177414,141105,80274,52907,31755,30042,27028,23432,16745,11977,9974,7707,7280,
营业利润(万元),525255,499813,420140,138226,127813,124822,148753,99375,83015,43497,20513,8117,11306,12324,9900,8035,5183,3418,3082,1768,
投资收益(万元),4744,11016,3260,--,--,--,--,--,132,2154,697,-1,--,-199,-199,-17,0,0,--,0,
营业外收支净额(万元),2750,1937,4599,26808,25435,21300,30803,18506,14917,10183,7428,5942,5345,-11,-1,2,0,0,-0,0,
利润总额(万元),528005,501750,424739,165035,153248,146122,179556,117880,97933,53680,27941,14059,16651,13810,11346,9226,6145,3584,3088,1768,
净利润(万元),434307,416207,324052,144718,129922,128306,160032,105596,85477,47455,25013,12531,14239,11065,10265,8473,5644,3584,3037,1337,
净利润(扣除非经常性损益后)(万元),414892,361839,114795,140793,127449,126185,116999,102911,82000,45802,19596,11488,12227,11075,10266,8472,5644,0,--,0,
经营活动产生的现金流量净额(万元),468430,320825,330082,182433,120253,169344,73754,56013,43535,29746,14917,14423,14057,15540,9121,11867,6731,3362,11690,0,
现金及现金等价物净增加额(万元),4257,-105517,-81885,82196,14668,98079,27584,26477,6463,97921,-29659,1524,-3948,1183,-3461,3442,44826,2905,1589,0,
总资产(万元),5742488,5233986,4597784,1753239,1629928,1479667,1327360,767270,602531,402691,245427,194647,180440,146686,121925,108254,82253,36287,101384,0,
流动资产(万元),4260543,4129645,3566996,1580258,1482413,1347493,1223180,692891,536485,353216,199313,158098,146561,118949,112927,102535,81141,35273,48595,0,
总负债(万元),2477234,2295844,2483460,858163,814819,757797,714472,376800,308069,176825,140336,96753,83879,61715,46292,39326,21632,20955,62318,0,
流动负债(万元),2431967,2254480,2467035,851156,809276,753959,713746,376486,307754,176511,140021,96467,83623,60981,46110,39326,21632,20955,28339,0,
股东权益不含少数股东权益(万元),3052306,2778428,1937969,885044,805791,714732,607213,388219,293126,224670,105092,97893,92292,81598,72928,66914,60621,15332,37853,0,
净资产收益率加权(%),14.82,16.9,16.38,17.23,17.09,19.4,29.35,31.16,29.75,34.23,20.91,13.2,16.37,14.3,14.76,13.36,20.11,0,--,0,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
