报告日期,2020-12-31,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31,2004-12-31,
基本每股收益(元),0.26,0.26,0.17,0.12,0.06,0.05,0.09,0.08,0.11,0.3,0.36,0.21,0.14,0.29,--,--,--,
每股净资产(元),--,--,--,--,--,--,--,--,--,4.5,5.04,4.75,4.6,4.52,2.5,1.9,1.58,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,--,-0.41,1.82,0.66,0.79,-2.15,1.08,0.18,0.06,
主营业务收入(万元),925629,897637,869464,779153,573847,519604,422687,372079,335058,365675,315074,292806,202039,179368,158602,103263,67433,
主营业务利润(万元),104740,101774,91359,85121,61564,54342,48548,47439,50214,46287,39620,35290,28476,25806,26901,17234,12762,
营业利润(万元),33275,28174,18910,11134,4757,5003,6900,6968,9284,9996,8403,5324,3619,9721,14118,7646,7272,
投资收益(万元),-2162,-2133,-186,--,--,--,--,810,25,--,--,-3,--,--,-7,6,-1,
营业外收支净额(万元),194,2101,444,187,1503,1591,864,376,720,473,501,159,201,-228,0,0,0,
利润总额(万元),33469,30275,19354,11321,6260,6594,7763,7344,10004,10469,8904,5483,3820,9493,13975,7490,7063,
净利润(万元),27081,26748,17072,10358,4912,3458,6452,6047,8237,9022,7293,4192,2831,5145,9053,4723,5227,
净利润(扣除非经常性损益后)(万元),24067,24072,15674,8974,3428,1570,5412,4755,7427,8406,6623,3819,3532,4626,9020,4603,5321,
经营活动产生的现金流量净额(万元),44451,32019,-3870,37899,3964,-10319,26113,33657,-59316,-15459,36432,13137,15851,-43029,16268,2665,943,
现金及现金等价物净增加额(万元),14082,-2398,-43041,75572,5559,876,527,-7883,-52872,49277,16258,-6170,-11022,27877,-3486,16583,1884,
总资产(万元),1365009,1144347,1032660,1008467,859896,902378,758153,660138,575876,522776,384773,349053,308678,246136,168541,148928,77131,
流动资产(万元),970602,857428,787719,791963,639271,675257,550844,494482,459226,435354,296860,267100,234495,188835,118476,103935,45856,
总负债(万元),879573,703669,628033,616721,613777,661139,568548,476457,397330,350954,279513,249941,213020,152342,127919,117824,52176,
流动负债(万元),850549,678531,625111,603697,569995,602641,523569,474390,394255,347454,276485,249875,209905,149050,117901,103797,46071,
股东权益不含少数股东权益(万元),437520,427826,403370,388137,242655,238256,186357,180654,175730,168429,100732,95039,92047,90416,37554,28471,23748,
净资产收益率加权(%),6.24,6.44,4.31,3.68,2.04,1.84,3.52,3.4,4.79,8.63,7.45,4.48,3.11,7.47,27.42,22.68,24.8,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
