报告日期,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31,2004-12-31,2003-12-31,2002-12-31,2001-12-31,2000-12-31,1999-12-31,1998-12-31,1997-12-31,1996-12-31,1995-12-31,1994-12-31,1993-12-31,
基本每股收益(元),-0.2,0.02,0.1,0.28,0.16,0.04,0.03,0.06,0.06,0.08,0.16,0.05,0.07,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
每股净资产(元),--,--,--,--,--,--,--,--,1.25,1.21,1.29,1.26,1.15,1.03,0.97,0.88,0.59,0.46,0.24,-1.29,-0.21,1.09,2.11,2.42,2.4,2.49,2.37,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,-0.06,0.12,0.08,0.09,0.29,0.07,0.12,0.27,-0.07,0.27,-0.18,0.05,0.02,-0.04,--,--,--,--,--,
主营业务收入(万元),58472,52880,60444,68111,65637,66271,66015,53562,67577,63224,61040,71496,103634,103736,110427,110013,87611,55061,37008,27973,35918,49449,72680,90800,80638,83529,--,
主营业务利润(万元),7454,6718,6554,6004,11080,8094,7899,6409,8362,7812,6020,6728,14042,12655,16148,16717,14419,7536,4456,1821,-11387,243,-462,-673,-1469,2082,--,
营业利润(万元),-7026,648,2794,-17224,4388,1392,3944,1832,1521,1218,4845,1503,1171,1332,2479,4272,1641,4540,680,-17553,-33130,-14216,-178,-404,876,0,--,
投资收益(万元),543,6295,4500,1025,6702,4218,5434,5098,4736,5590,9573,6610,585,-263,-5,290,1736,54,141,872,-1199,-2904,184,191,301,747,--,
营业外收支净额(万元),-9,-69,30,28887,1913,287,231,468,1049,622,150,188,--,894,-103,-187,-52,-84,-485,-8459,-94,0,0,0,0,-1964,--,
利润总额(万元),-7036,580,2823,11663,6300,1678,4175,2300,2570,1840,4995,1691,2279,2027,2470,4537,3411,4801,336,-25140,-34424,-17104,65,333,1257,3088,--,
净利润(万元),-6303,507,3127,9036,5193,1418,985,1648,1677,2311,4149,1447,1947,2063,3502,5071,4331,5256,884,-24667,-33955,-16962,135,288,1124,2906,--,
净利润(扣除非经常性损益后)(万元),-5867,-3468,-3558,-2245,-3156,-2480,-2121,-3485,-574,-1892,-3451,-3564,73,287,3321,4118,2170,768,-2621,-23394,-32936,--,--,--,--,--,--,
经营活动产生的现金流量净额(万元),936,996,-4551,15974,10611,49,1011,393,-1801,3446,2253,2384,7582,1783,3198,7076,-1769,7089,-4797,1222,566,-1037,--,--,--,--,--,
现金及现金等价物净增加额(万元),-11742,5490,-4712,-1087,4789,782,2209,760,498,2238,398,-293,-2543,-2080,-5257,7827,-4318,7349,3150,844,-6202,1,--,--,--,--,--,
总资产(万元),91697,103178,105440,100990,94487,73734,73034,74012,72462,74311,75448,72947,70374,83141,72500,70771,63333,52956,49665,27808,53251,98244,132498,135992,129593,121265,112149,
流动资产(万元),10472,28740,25538,35424,33937,33476,28423,27984,25519,22255,36917,32589,33659,48364,44931,45920,42528,--,--,0,0,66651,95930,97548,91151,76383,73031,
总负债(万元),33295,38913,36493,36856,39837,33214,32457,33375,34415,37438,40492,38736,37557,51025,44346,44539,44299,37241,40000,60696,56577,67162,74158,77670,73525,63008,57451,
流动负债(万元),23108,24508,29566,26592,38740,33214,32457,32724,34079,36599,40032,37864,36370,51025,44346,44539,44299,--,--,0,0,66905,72866,73733,68776,52435,48591,
股东权益不含少数股东权益(万元),56851,63493,67161,58990,48864,37993,37861,38602,36473,35416,34241,33418,30677,27482,25962,23268,15655,12097,6301,-34190,-5407,28820,55938,55803,55494,57604,54697,
净资产收益率加权(%),-10.63,0.75,4.96,16.76,11.6,3.74,2.58,4.39,4.66,6.62,12.13,4.52,7.35,0,14.23,28.23,31.21,53.8,-6.56,0,0,-45.47,--,0,0,0,--,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
