报告日期,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,
基本每股收益(元),0.49,0.37,0.44,0.58,0.3,0.38,0.46,0.05,0.39,0.6,0.56,0.36,0.43,0.12,
每股净资产(元),--,--,--,--,--,5.28,5.12,4.68,4.55,6.82,6.43,1.92,6.09,3.35,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,0.64,0.47,0.34,0.01,0.36,0.28,0.17,1.39,0.79,
主营业务收入(万元),173502,151779,124976,83315,46715,36111,31290,26403,29311,20254,15275,12757,7718,4768,
主营业务利润(万元),93695,82221,72763,52159,29687,23645,21115,16917,20796,13406,8659,6972,4764,2722,
营业利润(万元),22429,15792,19824,11201,4011,2790,4309,-1280,4069,2812,2383,1507,1553,211,
投资收益(万元),883,1056,909,216,13,-64,1868,473,138,551,245,147,78,29,
营业外收支净额(万元),1570,1092,505,3385,2309,2383,1907,1722,1321,2044,1054,717,--,238,
利润总额(万元),23999,16885,20330,14586,6320,5173,6216,442,5390,4856,3438,2223,2173,449,
净利润(万元),21908,16761,19627,12745,5878,4589,5477,537,4676,4507,3154,2021,1986,463,
净利润(扣除非经常性损益后)(万元),19557,13797,18307,10722,5353,3770,2719,22,4320,3548,2607,1767,1443,417,
经营活动产生的现金流量净额(万元),22004,16623,24936,22317,12905,7881,5782,4118,84,2698,2127,961,1951,790,
现金及现金等价物净增加额(万元),7888,20455,2570,17228,18427,-10805,4320,-14183,-1391,-3778,37458,-509,3574,488,
总资产(万元),306199,282279,262973,219427,103696,86552,81373,75149,72480,64217,54811,15723,12126,6376,
流动资产(万元),179255,160450,147015,121697,58071,50843,46026,40769,58808,53494,49627,10688,9722,4291,
总负债(万元),93783,88965,81436,56213,33258,20629,17335,16998,15755,11039,6608,4991,3606,3027,
流动负债(万元),92298,78531,64475,48490,27515,18150,16071,15382,14634,10194,6608,4935,3570,2548,
股东权益不含少数股东权益(万元),212797,193514,180589,161585,69144,64643,62583,56217,54653,51148,48203,10732,8520,3348,
净资产收益率加权(%),10.81,8.98,11.49,11.04,8.78,7.33,9.33,0.98,8.89,9.09,25.62,21.02,34.13,15.1,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
