报告日期,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31,2004-12-31,2003-12-31,
基本每股收益(元),0.34,0.47,0.36,0.27,0.23,0.16,0.15,0.15,0.2,0.19,0.11,0.16,0.29,--,--,--,--,
每股净资产(元),--,--,--,--,--,--,--,--,3.34,3.18,3.87,4.51,4.36,4.04,4.87,4.39,3.94,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,1,-0.51,0.18,0.45,1.02,-0.55,0.84,1.2,0.72,
主营业务收入(万元),573204,605989,519520,408547,304671,339946,326003,315771,297161,240808,180408,164989,147427,131492,127359,115784,93411,
主营业务利润(万元),110032,103636,87726,69848,48557,43708,39477,36857,31885,29294,15817,20314,25420,22313,20993,19923,14227,
营业利润(万元),33519,42103,30888,9778,2181,3784,3081,4010,6249,8882,546,3598,9244,8281,7493,6965,5426,
投资收益(万元),--,--,--,326,-13,-11,7,--,0,--,--,0,0,-13,-13,-3,14,
营业外收支净额(万元),-1229,1122,882,12652,10932,6260,7738,7107,5914,3814,3659,1687,202,263,--,--,--,
利润总额(万元),32289,43224,31771,22430,13112,10043,10819,11117,12163,12696,4206,5285,9446,8531,7365,6946,5528,
净利润(万元),27942,38646,29218,20746,11722,8444,8012,7977,10256,9013,3069,3864,6886,5716,4935,4654,3703,
净利润(扣除非经常性损益后)(万元),27385,36266,27376,15134,7094,6445,6824,6131,8935,8448,2099,2599,6750,5539,5050,4670,3345,
经营活动产生的现金流量净额(万元),111428,15051,10630,15373,15652,23367,24877,24144,51732,-26569,5191,10606,24016,-12915,8682,12315,7399,
现金及现金等价物净增加额(万元),-27275,-20830,-30129,74102,-729,536,8315,-10018,882,18632,10322,-2906,-1325,9016,1199,2048,837,
总资产(万元),955499,976070,911820,793443,621700,558866,500574,464047,433275,393843,257845,230751,208763,184670,137034,122436,119636,
流动资产(万元),574457,573574,515047,453713,322522,274211,279699,250077,234565,231629,119530,100280,95599,105165,62268,51414,47735,
总负债(万元),534213,577961,584345,498352,419315,366749,313539,285280,254402,228324,148873,125003,106668,90039,86940,77276,79130,
流动负债(万元),489238,461099,269906,311295,219841,174068,205434,188470,227191,188141,116113,105894,96788,78259,64140,52503,51383,
股东权益不含少数股东权益(万元),412832,390487,325131,295091,202384,192117,187035,178767,173502,165519,108972,105748,102095,94631,50095,45160,40506,
净资产收益率加权(%),6.96,11.22,9.43,8.34,5.96,4.41,4.38,4.52,5.91,6.39,2.86,3.71,6.99,10.17,10.36,10.87,9.83,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
