报告日期,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,
基本每股收益(元),0.87,1.06,1.29,--,1.28,0.73,0.85,0.77,
每股净资产(元),--,--,--,--,5.63,4.78,4.05,3.2,
每股经营活动产生的现金流量净额(元),--,--,--,--,1.83,0.85,-0.65,0.25,
主营业务收入(万元),468398,389003,217690,--,30654,17476,15376,14302,
主营业务利润(万元),181389,149005,87541,--,13138,7639,7932,7195,
营业利润(万元),88418,96942,60422,--,7487,4229,4845,4616,
投资收益(万元),2073,633,905,--,83,9,--,--,
营业外收支净额(万元),-4865,-13065,1847,--,242,152,198,90,
利润总额(万元),83553,83878,62268,--,7728,4381,5043,4706,
净利润(万元),76557,74244,53750,--,6551,3746,4338,3928,
净利润(扣除非经常性损益后)(万元),76787,82081,51358,--,6275,3610,4170,4030,
经营活动产生的现金流量净额(万元),54138,-4797,3094,--,9355,4358,-3294,1294,
现金及现金等价物净增加额(万元),59577,71032,33133,--,6552,-448,-3848,4372,
总资产(万元),951670,842561,665110,241575,73571,38191,26689,24655,
流动资产(万元),753157,655637,504593,208579,56043,25724,15853,15995,
总负债(万元),523254,498328,386870,147167,44865,13792,6037,8341,
流动负债(万元),416842,450858,370839,146649,42032,13792,6037,8341,
股东权益不含少数股东权益(万元),428416,344233,278241,94407,28706,24399,20652,16314,
净资产收益率加权(%),20.86,23.95,34.16,--,25.03,16.63,23.47,32,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
