报告日期,2020-12-31,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,
基本每股收益(元),0.02,0.02,0.04,0.04,-0.07,0.03,0.02,0.12,0.14,0.2,0.15,0.45,0.48,0.58,0.32,
每股净资产(元),--,--,--,--,--,--,--,--,--,3.08,3.54,5.43,3.22,2.73,1.79,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,--,-0.01,-0.18,0.22,0.1,0.48,0.62,
主营业务收入(万元),127778,132130,139343,143860,103528,104777,120168,92957,69286,41715,20877,19254,19555,19349,14705,
主营业务利润(万元),22721,28498,22690,21035,9846,14322,17247,15806,14131,9171,4399,5447,5038,5118,3421,
营业利润(万元),5485,4025,5827,3909,-8661,1310,-151,2044,6049,5057,2179,3615,3503,3788,2228,
投资收益(万元),1063,2312,--,-1000,1655,910,--,--,--,2,--,--,0,0,-19,
营业外收支净额(万元),-3819,-3529,-3594,-173,1070,1733,1140,3505,355,70,219,238,106,281,-25,
利润总额(万元),1666,496,2233,3736,-7591,3043,989,5549,6403,5127,2398,3853,3610,4070,2202,
净利润(万元),2147,1850,3451,3685,-6193,2598,680,4608,4331,3307,2099,3237,3062,3285,1808,
净利润(扣除非经常性损益后)(万元),3555,3340,5638,2256,-7249,872,-337,1106,4075,3246,1917,3034,2973,2335,1493,
经营活动产生的现金流量净额(万元),6346,1675,17171,3488,12568,2144,505,-2438,-3805,-229,-2425,1883,653,3057,3539,
现金及现金等价物净增加额(万元),-3756,3578,-8547,-9758,2745,-5152,-293,8961,6941,16,-7565,13058,-1229,3115,-408,
总资产(万元),381495,320419,276897,291312,247934,260404,236333,229981,187561,98093,70724,57775,32783,27471,20395,
流动资产(万元),210148,162177,137588,132000,131326,149321,147603,140095,120790,52051,31732,40420,18375,12792,6743,
总负债(万元),222617,161978,121411,120842,80336,86416,115673,109713,71906,44596,21166,10331,12203,9997,10182,
流动负债(万元),186064,140527,112877,106471,78262,84301,114235,102581,64444,40230,17024,10182,9225,6078,8963,
股东权益不含少数股东权益(万元),158411,157833,155048,170470,167598,173988,116106,116140,112374,50852,48731,46632,19078,16017,8882,
净资产收益率加权(%),1.35,1.18,2.04,2.17,-3.63,1.68,0.56,4.04,5.03,6.64,4.4,11.24,17.45,22.66,22.66,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
