报告日期,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,
基本每股收益(元),-2.67,0.37,0.46,0.42,0.84,1.16,1.94,1.49,1.03,0.7,0.52,
每股净资产(元),--,--,--,--,--,7.01,6.96,5.02,3.53,2.49,7.07,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,0.09,0.55,0.13,0.37,0.55,0.3,
主营业务收入(万元),36204,224734,185472,148125,101678,63981,43678,30528,20950,11729,6662,
主营业务利润(万元),9812,126298,104498,85285,55908,33685,24026,16808,11366,6879,4162,
营业利润(万元),-316917,37613,42912,32458,24841,12884,8488,6697,4765,2590,1607,
投资收益(万元),5333,2231,-425,8628,460,56,--,--,--,--,--,
营业外收支净额(万元),-204,1140,586,7460,5429,2934,3009,2406,1523,1270,883,
利润总额(万元),-317121,38753,43498,39918,30270,15819,11497,9103,6288,3860,2489,
净利润(万元),-317655,31461,38471,33471,24850,13579,10187,7821,5431,3582,2267,
净利润(扣除非经常性损益后)(万元),-274509,40848,36773,27896,24680,13512,8956,7773,5366,3364,2003,
经营活动产生的现金流量净额(万元),-57342,1024,8883,8552,14149,1062,2863,686,1945,2874,267,
现金及现金等价物净增加额(万元),-69006,2105,-67995,77894,32492,23431,2025,6628,5264,5724,2873,
总资产(万元),404292,821809,623525,545661,366815,158066,85644,53404,27937,17856,9040,
流动资产(万元),217886,562984,423891,341585,202818,119330,70914,45409,22589,16907,8622,
总负债(万元),325891,422118,255927,182209,153605,72362,49108,27054,9409,4759,2675,
流动负债(万元),257076,386536,174564,125689,109780,68184,44920,24054,5869,4759,2550,
股东权益不含少数股东权益(万元),76470,396967,361557,344445,196349,83508,36537,26350,18529,13097,6365,
净资产收益率加权(%),-133.01,8.31,11.32,15.08,25.6,19.74,32.4,34.85,34.35,36.81,83,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
