报告日期,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,
基本每股收益(元),0.32,0.3,0.32,0.46,0.54,0.5,0.71,0.45,0.29,--,
每股净资产(元),--,--,--,--,--,--,--,--,--,--,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,--,--,
主营业务收入(万元),5437055,5663364,5119075,3917661,3968793,4417896,5391600,4706121,4365309,3633506,
主营业务利润(万元),633452,491850,556412,836339,999077,843528,983323,679210,455136,546029,
营业利润(万元),580575,518378,556139,858524,1016714,834312,935626,541262,321546,394702,
投资收益(万元),220703,277443,247824,275156,315529,299871,282837,209580,146098,117865,
营业外收支净额(万元),-2828,-17143,-3045,11400,11217,20563,-5676,20054,10906,14033,
利润总额(万元),577747,501236,553095,869925,1027931,854875,929950,561316,332452,408735,
净利润(万元),429327,403571,433446,627707,697648,596436,575730,349744,219840,248961,
净利润(扣除非经常性损益后)(万元),422891,371294,426183,617311,681691,578204,571562,332527,189552,195650,
经营活动产生的现金流量净额(万元),902791,677421,998640,1335075,1265578,1042337,1326217,906798,537375,776190,
现金及现金等价物净增加额(万元),466178,-101996,-306902,330978,-209035,436203,260856,119521,-90366,146147,
总资产(万元),11096978,10969634,11288338,10583658,10366231,10420359,9201770,8137798,7551741,7851176,
流动资产(万元),2669578,2347021,2344487,2480783,2159410,2470999,1906215,1680699,1661845,1643691,
总负债(万元),3847309,4054378,4408517,3952869,3979430,5307409,4861198,4190437,4062100,4156364,
流动负债(万元),1427912,1641720,1828889,1553477,1623976,1748401,2413335,1921957,2152971,1927322,
股东权益不含少数股东权益(万元),6416706,6119546,6077814,5827669,5561879,4347227,3614162,2779380,2377953,2554965,
净资产收益率加权(%),6.87,6.64,7.24,11.09,13.88,15.3,20.04,13.92,8.92,10.31,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
