报告日期,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31,2004-12-31,2003-12-31,2002-12-31,2001-12-31,2000-12-31,1999-12-31,1998-12-31,1997-12-31,1996-12-31,
基本每股收益(元),0.97,0.77,0.63,--,0.62,0.53,0.32,0.38,0.19,0.12,0.29,0.35,0.29,--,--,--,--,--,--,--,--,--,--,--,
每股净资产(元),--,--,--,--,--,--,--,--,4.41,4.31,4.33,4.19,3.99,3.82,3.2,3.17,3.06,2.8,2.68,2.56,2.48,1.77,1.37,0.85,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,0.84,0.44,0.35,0.43,0.44,0.44,0.52,0.48,0.47,0.47,0.41,0.39,0.36,0.28,--,--,
主营业务收入(万元),353015,317077,276646,--,227128,223427,205015,197995,167826,103594,87119,89706,88645,81733,77817,71142,64677,65199,59707,54281,47876,73703,92884,96198,
主营业务利润(万元),156528,134705,116532,--,103943,98467,87352,82031,58550,40206,49100,49536,50446,48352,44906,38990,35877,35435,31210,24659,26296,44689,61785,69547,
营业利润(万元),128318,106142,82721,--,82447,72007,56410,49355,26504,16218,38340,43484,44083,35378,36921,32057,30802,30376,26916,19367,23138,38577,57220,63476,
投资收益(万元),722,1123,867,--,1286,1651,868,1158,276,24,29,55,153,819,639,584,446,-530,132,2915,4455,0,0,0,
营业外收支净额(万元),1820,-2562,2179,--,1446,-420,-12945,1832,-416,3,384,3913,--,-396,-505,-837,258,-3126,-377,-625,-404,0,0,0,
利润总额(万元),130138,103580,84900,--,83893,71587,43465,51186,26089,16221,38724,47397,43662,35801,37055,31804,31506,26720,26671,21657,27189,38370,55800,64179,
净利润(万元),97243,77465,63481,--,62760,53651,32520,38258,19416,12078,28955,35449,28927,24119,24668,21144,21126,17504,17852,14600,18270,25721,45936,53965,
净利润(扣除非经常性损益后)(万元),95361,77841,61855,--,61675,53965,42229,36891,19738,12085,28670,32515,29209,24384,24967,21002,20727,19595,18229,15225,18152,--,--,--,
经营活动产生的现金流量净额(万元),153717,144451,120550,--,114456,108877,109741,97972,84870,43930,35377,42984,44510,44420,41361,38512,37293,37259,32432,31444,28443,17708,--,--,
现金及现金等价物净增加额(万元),66155,-38325,50635,--,-31749,36647,-2006,2298,17936,5769,-882,-12970,7041,-37972,41393,-3217,-25409,13356,-1856,-10901,37024,-18420,--,--,
总资产(万元),1180242,1109273,1166602,1120847,1021916,970553,932075,937079,942495,940856,896616,812961,713659,601950,569621,449624,439277,380246,371501,366429,362402,276264,279568,213349,
流动资产(万元),171853,95439,133546,64895,66687,98765,62405,66358,63458,38939,25756,22897,36081,22969,61004,20292,22584,--,0,0,0,42617,40321,42151,
总负债(万元),422936,417041,519635,507172,456736,448014,446072,467474,498062,506778,460522,390711,311764,217289,313387,196011,194402,156356,157171,161589,163640,162890,191902,158685,
流动负债(万元),156641,199041,245635,257028,167336,188414,86072,84871,80459,79175,93522,64711,65764,117289,92334,71864,70251,--,0,0,0,38709,67705,106712,
股东权益不含少数股东权益(万元),757041,691985,646753,613491,565002,522388,485861,469458,444295,433945,435969,422123,401783,384661,256235,253613,244875,223890,214330,204840,198762,113374,87666,54664,
净资产收益率加权(%),13.52,11.67,10.16,--,11.61,10.7,6.85,8.41,4.44,2.79,6.79,8.66,7.37,8.69,9.65,8.55,8.91,7.85,8.35,7.09,0,--,--,--,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
