报告日期,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,
基本每股收益(元),-0.5,0.03,-0.31,0.17,0.51,0.42,0.36,0.18,0.32,0.5,0.83,0.58,0,--,
每股净资产(元),--,--,--,--,--,3.45,3.07,2.2,2.63,3.61,6.43,1.96,0,--,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,-0.3,0.05,-0.03,-0.81,0.14,0,0.38,0,--,
主营业务收入(万元),104695,136393,141540,131012,128146,105876,71642,62691,51217,24136,15562,11706,7743,5390,
主营业务利润(万元),12384,20055,30178,32975,35553,31062,23246,21109,17601,9183,6330,4735,3390,2463,
营业利润(万元),-18899,-2064,-14213,9211,12867,10904,7279,5388,5546,4686,2789,1883,1702,1161,
投资收益(万元),116,13922,55,650,42,-18,-92,-52,203,796,175,0,18,--,
营业外收支净额(万元),-194,455,-126,167,131,427,723,370,570,419,284,130,--,117,
利润总额(万元),-19093,-1609,-14340,9378,12998,11331,8002,5758,6116,5105,3073,2013,1759,1278,
净利润(万元),-21376,1093,-13345,7498,10849,8900,6285,2802,3793,3970,2637,1744,1383,997,
净利润(扣除非经常性损益后)(万元),-22761,-3207,-24924,7509,10676,8584,5763,2521,3480,3716,2518,1741,1303,936,
经营活动产生的现金流量净额(万元),13873,17918,6822,278,3488,-6350,997,-477,-9704,1080,11,1137,323,524,
现金及现金等价物净增加额(万元),4050,-14338,1283,2650,8341,-1241,348,4509,1039,-11517,17356,2235,-244,670,
总资产(万元),161217,198942,300889,305655,220023,172955,127261,91279,74872,41408,30366,8539,5316,3397,
流动资产(万元),139069,154344,214205,211250,178913,142107,99925,76638,60544,32473,28409,7473,4547,3032,
总负债(万元),113292,122690,220869,207861,135640,95588,58087,45464,32600,9083,4590,2619,2268,1531,
流动负债(万元),110039,119428,198265,195954,131072,88923,53870,44517,32475,9005,4590,2619,2268,1531,
股东权益不含少数股东权益(万元),47682,75804,74139,89513,83417,73989,65733,34353,31532,28894,25724,5875,3011,1828,
净资产收益率加权(%),-34.62,1.46,-16.35,8.69,13.77,12.75,13.66,8.51,12.48,14.61,26.77,38.44,58.78,76.41,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
