报告日期,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31,2004-12-31,2003-12-31,2002-12-31,2001-12-31,2000-12-31,1999-12-31,
基本每股收益(元),0.28,0.21,0.05,0.19,0.18,0.01,0.16,0.3,0.26,0.27,0.21,0.19,0.85,--,--,--,--,--,--,--,--,
每股净资产(元),--,--,--,--,--,--,--,--,3.23,3.55,2.58,2.47,4.02,3.52,3.32,4.41,4,3.5,--,1.48,0,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,-0.33,0.25,1.34,-0.87,-1.79,0.52,-0.1,-4.36,-1.99,-0.79,--,-0.41,0,
主营业务收入(万元),228913,233053,170187,289587,573664,284118,215728,264956,210851,314131,220207,159161,285680,230641,132512,97480,48054,36609,32407,23260,12348,
主营业务利润(万元),73340,77446,18969,41416,47386,21857,31138,77059,62947,75811,57239,51399,73983,46243,31728,20919,13707,9367,8995,5535,4134,
营业利润(万元),35253,31061,4042,24025,26494,7792,28804,57422,44890,60271,39524,31901,63260,36144,23057,16295,11249,7299,7849,4535,3147,
投资收益(万元),-9333,-2836,16404,9526,5392,7179,7803,-2543,121,-363,118,103,1041,670,35,-49,-110,-49,-45,-15,141,
营业外收支净额(万元),8118,521,806,480,-100,-116,-348,-81,327,248,181,-121,--,-95,-84,-104,-74,-37,-22,0,0,
利润总额(万元),43371,31581,4848,24505,26394,7676,28456,57341,45217,60519,39705,31781,63074,37034,23296,16149,11065,7235,7809,4466,3258,
净利润(万元),29810,21762,5417,19539,18573,1291,17242,31628,27385,28432,22317,18786,34352,22751,14866,10572,7050,4230,4153,2812,2230,
净利润(扣除非经常性损益后)(万元),22469,23028,-2683,14109,15210,-4786,17373,31598,27181,28273,22202,18726,34354,22185,14552,10467,7108,4271,5563,0,0,
经营活动产生的现金流量净额(万元),-233170,191925,-136726,-232509,154020,96184,80661,31028,-34316,26458,140807,-90966,-72642,20909,-2003,-60985,-27844,-11059,-11181,0,0,
现金及现金等价物净增加额(万元),22389,77064,7792,-111837,66673,20467,-793,2380,-13240,1864,41408,-8674,-10233,77656,3278,16299,2252,8537,-2293,0,0,
总资产(万元),2059563,1630622,1534227,1401957,1346663,1463753,1402904,1215267,1068578,975952,900214,731746,638999,486028,413586,325711,159895,85250,55897,47606,32139,
流动资产(万元),1767712,1364922,1274802,1144828,1086684,1302330,1246682,1066854,917370,806229,877941,719512,628093,479320,405831,320568,139349,0,53951,0,0,
总负债(万元),1655824,1263721,1149383,1004847,935065,1089217,1015937,821966,686622,548390,582844,423861,432198,306817,312640,242002,102868,35195,39072,32186,17770,
流动负债(万元),1056249,651860,575609,525119,590796,787568,673070,496512,391898,318626,383906,291419,290553,177761,261323,198495,102522,0,33726,0,0,
股东权益不含少数股东权益(万元),395390,362863,380770,393296,398986,360998,370482,357393,338591,372175,270902,259085,162897,142590,69609,61743,56063,49002,15414,14793,14369,
净资产收益率加权(%),7.76,5.85,1.4,4.97,4.9,0.36,4.75,9.11,7.74,7.64,8.42,9.35,22.81,24.37,23.26,17.95,12.85,10.03,25.48,17.83,35.05,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
