报告日期,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,
基本每股收益(元),0.3,0.29,0.22,0.23,0.06,0.3,0.44,0.47,0.46,0.77,0.52,0.4,
每股净资产(元),--,--,--,--,--,--,--,4.79,5.9,2.43,0,0,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,0.09,0.38,0.55,2.13,
主营业务收入(万元),124513,157337,104112,45708,29317,36705,28020,30451,23017,22197,15284,13857,
主营业务利润(万元),54438,51872,40104,24803,14062,18617,14220,13192,9750,9813,7018,6566,
营业利润(万元),20707,20554,14010,9305,1291,7329,4997,5799,3343,5127,3567,2669,
投资收益(万元),509,306,230,1122,437,--,--,--,--,0,-82,-11,
营业外收支净额(万元),-148,74,105,803,742,454,522,277,647,462,222,248,
利润总额(万元),20559,20628,14115,10108,2033,7783,5519,6076,3989,5589,3789,2917,
净利润(万元),18223,17966,13201,8628,2142,6731,4813,5186,3356,4827,3264,2531,
净利润(扣除非经常性损益后)(万元),16758,16887,11685,7310,1534,6361,4399,4974,2827,4534,3139,2772,
经营活动产生的现金流量净额(万元),18386,19292,936,15245,-5636,1844,5544,5764,786,2376,3463,2985,
现金及现金等价物净增加额(万元),14397,13826,-4421,18438,-1505,-22171,209,899,29632,20,1698,2410,
总资产(万元),239266,226911,179347,126325,70026,75971,67115,61849,56678,21933,17059,16054,
流动资产(万元),191060,180692,133225,83994,48606,55556,55667,55064,52679,19630,16001,14999,
总负债(万元),100244,97536,63213,36364,10882,14575,10930,9581,7076,6645,6598,7857,
流动负债(万元),97661,95157,62106,35477,10111,13581,9915,9288,7031,6313,6024,7657,
股东权益不含少数股东权益(万元),136423,126974,114225,89523,58803,61078,56185,52267,49602,15288,10461,8197,
净资产收益率加权(%),13.88,14.86,12.32,13.88,3.56,11.5,8.92,10.18,10.35,37.49,34.07,28.34,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
