报告日期,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31,
基本每股收益(元),0.02,-0.21,0.06,0.02,-0.11,0.03,0.02,-0.18,-0.05,0.04,0.06,0.14,0.15,0.13,0.08,
每股净资产(元),--,--,--,--,--,--,--,--,1.9,1.88,1.85,1.78,1.4,--,--,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,-0.07,0.09,0.15,-0.04,0.05,0.13,-0.07,
主营业务收入(万元),74679,76679,90414,52596,45978,46784,36743,34023,38316,52096,43800,42890,41288,29537,19760,
主营业务利润(万元),11136,11149,15853,6754,2892,6861,3037,921,3801,5655,5192,6635,8211,7125,5373,
营业利润(万元),-1133,-7683,1404,-33,-4147,226,-744,-5529,-2249,-200,252,1310,2562,2940,1766,
投资收益(万元),80,--,--,--,-69,-805,2201,208,96,436,405,290,61,-151,200,
营业外收支净额(万元),2093,752,829,731,734,619,1352,411,740,1669,1760,2333,0,13,177,
利润总额(万元),960,-6931,2233,697,-3413,845,608,-5118,-1509,1469,2012,3643,3216,2953,1944,
净利润(万元),705,-6839,1968,701,-3118,827,586,-5153,-1431,1191,1841,3274,3176,2793,1703,
净利润(扣除非经常性损益后)(万元),-3294,-8137,740,-28,-3680,172,-2934,-5564,-2168,-282,738,1954,3155,2768,1443,
经营活动产生的现金流量净额(万元),12774,9244,13615,2614,1814,708,1199,-4722,-2096,2746,4491,-1221,1118,2903,-1440,
现金及现金等价物净增加额(万元),-1876,-72,10724,2916,-1088,-620,2284,-6756,-4347,-2430,-4631,12049,4014,1849,-2409,
总资产(万元),145546,139399,146696,78887,77050,77922,75865,73623,80127,81571,80197,78864,54470,43782,37557,
流动资产(万元),64334,69043,78999,51273,47545,49506,44128,39786,45175,44642,47298,52741,32539,24302,20673,
总负债(万元),51581,48621,49294,29289,28159,25455,24192,22568,23946,25943,25877,26410,24045,16466,13283,
流动负债(万元),41319,39049,41516,27476,26609,24825,23477,21708,23156,23221,24411,26034,22873,15042,11029,
股东权益不含少数股东权益(万元),93837,90641,97225,48853,48152,51561,50734,50148,55301,54676,53776,51935,29836,26660,23975,
净资产收益率加权(%),0.78,-7.28,2.05,1.45,-6.24,1.62,1.16,-9.77,-2.65,2.2,3.48,8.7,11.24,11.04,7.38,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
