报告日期,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,
基本每股收益(元),0.3,-0.59,-2.04,0.04,0.01,0.09,0.2,-0.17,0.45,1.18,0.93,0.73,0.21,
每股净资产(元),--,--,--,--,--,6.4,6.35,5.25,7.04,13.59,2.52,1.59,0.49,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,0.41,-0.1,-0.12,-1.55,-0.2,-0.34,0.55,0.06,
主营业务收入(万元),598214,278630,182575,240163,170876,225903,154770,86794,163508,120980,57065,57840,19882,
主营业务利润(万元),208705,38241,29706,52211,36424,48922,32715,14215,29749,25872,15572,13666,4462,
营业利润(万元),90940,-21928,-98987,4680,-749,1735,6923,-8664,12656,15715,11036,9681,3349,
投资收益(万元),-424,24844,-2154,25,-622,310,9900,--,--,--,195,0,0,
营业外收支净额(万元),255,-24,-79,-751,753,1602,383,1753,2084,1696,862,--,--,
利润总额(万元),91195,-21952,-99065,3929,4,3337,7306,-6911,14740,17411,11898,9905,3356,
净利润(万元),60209,-29450,-102413,2056,640,4585,7569,-6232,12497,14861,9762,7674,2202,
净利润(扣除非经常性损益后)(万元),-39770,-56223,-104119,2272,-350,3322,262,-7949,10818,13420,8850,8250,2115,
经营活动产生的现金流量净额(万元),110791,20271,-18371,2180,-31242,20512,-4981,-4526,-43504,-2862,-3583,5826,586,
现金及现金等价物净增加额(万元),72927,-38422,-3164,17209,2510,14456,-1581,-27814,-53278,96665,-1548,3418,527,
总资产(万元),889515,501284,669213,624781,542692,555459,505449,277533,267664,220267,52626,32278,11004,
流动资产(万元),465114,292088,334482,383185,337927,324302,276431,155439,187247,174549,33944,20537,9264,
总负债(万元),342864,308316,411832,297866,218711,232046,182865,86483,70480,29981,26195,15609,5809,
流动负债(万元),285825,264335,301976,217386,146117,228569,168488,85946,70477,29981,26195,15609,5809,
股东权益不含少数股东权益(万元),461878,153022,218919,324251,322195,321810,319236,190951,197183,190286,26431,16669,5195,
净资产收益率加权(%),13.91,-17.56,-33.8,0.64,0.2,1.43,3.38,-3.21,6.44,12.35,45.3,66.36,105.15,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
