报告日期,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,
基本每股收益(元),0.45,0.4,0.41,0.87,0.82,0.79,0.76,0.59,
每股净资产(元),--,--,--,5.41,4.62,3.62,2.94,2.45,
每股经营活动产生的现金流量净额(元),--,--,--,1.21,0.61,-0.69,-0.44,-0.68,
主营业务收入(万元),56438,49563,40592,40712,39588,40118,32056,25406,
主营业务利润(万元),21132,19201,13841,12867,12372,12388,9709,6700,
营业利润(万元),8649,8293,6066,6472,5810,5661,5095,3869,
投资收益(万元),20,--,74,22,--,--,--,22,
营业外收支净额(万元),-72,-41,396,115,315,36,20,2,
利润总额(万元),8577,8252,6461,6588,6125,5697,5115,3870,
净利润(万元),6115,5493,5168,5502,5094,4747,4287,3236,
净利润(扣除非经常性损益后)(万元),6043,5425,4664,5385,4829,4724,4270,3217,
经营活动产生的现金流量净额(万元),8489,-276,-3764,7697,3909,-4125,-2634,-3758,
现金及现金等价物净增加额(万元),-4095,5723,8149,6600,286,-3332,131,-4691,
总资产(万元),124778,100027,71384,50438,41567,35539,27232,19537,
流动资产(万元),90924,81550,61292,49605,40767,34314,26333,18884,
总负债(万元),56570,32725,11731,16038,12212,13832,9585,6079,
流动负债(万元),50116,24368,11731,16038,12212,13832,9585,6079,
股东权益不含少数股东权益(万元),64923,64703,59653,34400,29355,21707,17647,13459,
净资产收益率加权(%),9.7,8.8,9.91,17.25,20.83,24.01,28.4,26.87,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
