报告日期,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31,2004-12-31,2003-12-31,2002-12-31,2001-12-31,2000-12-31,
基本每股收益(元),0.48,0.55,0.82,1.21,1.09,0.95,0.78,0.65,0.61,0.51,0.47,0.42,0.36,--,--,--,--,--,--,--,
每股净资产(元),--,--,--,--,--,--,--,--,5.97,5.7,5.38,5.08,4.84,4.18,3.99,3.97,3.78,2,1.76,1.5,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,1.14,1.43,1,0.87,0.99,1.04,0.47,0.29,0.38,0.47,0.61,0.33,
主营业务收入(万元),786994,774682,676155,616668,561974,552768,514131,467332,423935,386548,330609,304970,268344,240980,214931,154078,106185,93966,83838,78025,
主营业务利润(万元),173423,217622,265417,237640,220789,208835,183227,165401,141574,126037,127927,116778,115251,106103,88687,78469,64941,54107,46512,43941,
营业利润(万元),131566,152813,216494,189952,174734,157596,131539,114795,95432,83322,75634,70807,59442,47294,39966,44928,46939,37197,31981,31787,
投资收益(万元),4950,2876,4562,2993,1795,970,205,585,416,180,337,-4,-8,-227,-287,-617,125,-208,-240,12,
营业外收支净额(万元),1165,1021,85,519,493,-2631,-2590,-8049,2263,134,92,-328,419,-16,124,-159,-940,0,-256,-870,
利润总额(万元),132731,153834,216578,190471,175227,154965,128950,106746,97695,83456,75726,70479,59861,47070,39874,44158,46124,36881,31484,30929,
净利润(万元),99986,112917,159578,139385,125309,108764,89496,75309,69710,58778,54389,48577,36086,29220,25151,28357,29614,28668,29679,19676,
净利润(扣除非经常性损益后)(万元),94215,107823,156424,139170,123716,110982,91575,80673,67262,57958,54352,48829,35905,29257,25068,28426,29544,0,--,--,
经营活动产生的现金流量净额(万元),301270,311931,215307,195610,173911,182380,196597,179666,131012,164645,115524,99638,114366,104172,46510,29148,38199,28436,--,--,
现金及现金等价物净增加额(万元),-104425,-54597,184861,-35386,-175568,135171,55794,31088,-8041,-23828,59635,510,7250,10755,-64255,7218,1461,11075,--,--,
总资产(万元),2500705,2706496,2251954,1774346,1232475,1107390,994974,1014430,1063946,1129051,1123136,902107,911123,750098,784622,781177,431658,166809,144212,117741,
流动资产(万元),253077,378898,411256,209398,221338,401059,247528,196369,179291,199188,220979,162439,132076,142873,143413,171397,141254,--,100083,79560,
总负债(万元),853854,1132265,741975,686899,255212,221731,192335,267161,355084,452935,484598,298692,337513,314316,369312,368683,42628,37876,31243,20493,
流动负债(万元),703706,977203,538183,260852,236903,201216,172959,244960,323025,416908,467598,271692,313513,282316,233312,368683,42628,--,31243,20493,
股东权益不含少数股东权益(万元),1628877,1561572,1500620,1076676,957137,849074,772811,722610,686990,655344,619248,584408,556391,417780,398593,396664,377939,120061,105793,89914,
净资产收益率加权(%),6.24,7.36,12.24,13.53,14,13.38,11.91,10.64,10.36,9.28,9.04,8.52,8.4,7.17,6.35,7.23,10.27,23.86,28.33,--,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
