报告日期,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,
基本每股收益(元),0.04,0.13,0.53,0.35,0.36,0.38,0.51,1.14,0.79,0.66,0.48,
每股净资产(元),--,--,--,--,--,3.27,4.37,5.96,3.07,2.28,2.75,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,-0.15,-0.94,-0.75,0.23,-0.31,-0.72,
主营业务收入(万元),285176,382053,557889,286051,176840,162614,74706,62800,49980,36706,24565,
主营业务利润(万元),83939,112166,180340,89428,52925,45810,25126,20078,14341,10578,4653,
营业利润(万元),6864,36172,110109,42441,20288,21277,11456,11974,9421,7337,2958,
投资收益(万元),763,-6380,810,68,91,-20,--,--,--,-3,-23,
营业外收支净额(万元),-1171,-1884,-2655,2842,1555,1201,582,2302,1426,1409,1576,
利润总额(万元),5692,34288,107454,45283,21843,22478,12038,14276,10847,8746,4533,
净利润(万元),6096,20380,84398,33931,15921,16677,10410,12725,8151,6545,3288,
净利润(扣除非经常性损益后)(万元),1290,16836,83187,31464,14912,15706,10199,9540,7086,5497,2106,
经营活动产生的现金流量净额(万元),-44218,-187184,42032,10568,8454,-6402,-19303,-10274,2313,-3185,-3174,
现金及现金等价物净增加额(万元),52622,-111400,81095,48524,13034,9899,-10466,24465,8198,1605,1580,
总资产(万元),1618325,1452106,1247614,702313,455075,350539,177242,132223,70158,43562,28307,
流动资产(万元),707517,645720,968530,558629,362727,282520,153737,121420,64367,40258,26975,
总负债(万元),1083550,1034329,855274,394631,233012,192060,83642,50250,38223,19869,16128,
流动负债(万元),719242,768984,748015,366671,220483,175155,82584,49539,38181,19842,16128,
股东权益不含少数股东权益(万元),445584,366590,360234,281832,205638,144133,89887,81583,31497,23346,12180,
净资产收益率加权(%),1.65,5.61,26.29,14.15,10.29,12.81,12.16,26.96,29.72,37.66,55.46,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
