报告日期,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2010-12-31,2009-12-31,2008-12-31,
基本每股收益(元),0.73,0.67,0.95,0.95,0.85,0.45,0.59,0.52,0.47,0.31,
每股净资产(元),--,--,--,5.22,4.11,3.38,3.15,1.9,2.53,5.2,
每股经营活动产生的现金流量净额(元),--,--,--,0.6,1.21,0.42,0.45,0.39,3,-0.24,
主营业务收入(万元),97807,94678,74783,48786,37656,35775,29893,21431,12836,10438,
主营业务利润(万元),44763,41080,34561,24119,16001,14057,11005,8095,5067,3761,
营业利润(万元),6769,5837,6312,6781,5801,3406,3909,3591,2560,1469,
投资收益(万元),562,955,47,123,68,109,417,61,88,80,
营业外收支净额(万元),12,925,847,155,278,78,246,295,89,68,
利润总额(万元),6781,6762,7159,6936,6080,3485,4154,3886,2648,1537,
净利润(万元),6298,5759,6283,6008,5086,2719,3523,2929,2229,1444,
净利润(扣除非经常性损益后)(万元),4896,4178,5345,6402,4015,2501,3229,2907,2054,1635,
经营活动产生的现金流量净额(万元),12931,9612,6737,3889,7287,2517,2693,2367,7729,-236,
现金及现金等价物净增加额(万元),17168,-7450,12423,-7354,9636,6179,-4675,-1330,4916,-183,
总资产(万元),150312,116680,109689,65284,44528,41384,28868,17401,13399,9619,
流动资产(万元),106360,77867,75487,39866,28986,26408,16196,10004,9497,6092,
总负债(万元),70820,42801,40959,31592,19875,21083,9943,5975,6101,3871,
流动负债(万元),70324,42312,35522,26213,19439,20670,9641,5758,5903,3792,
股东权益不含少数股东权益(万元),79456,73879,68730,33692,24654,20301,18925,11426,6519,5167,
净资产收益率加权(%),8.23,8.08,16.07,20.09,22.82,14.11,20.23,31.13,36.37,32.47,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
