报告日期,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31,2004-12-31,2003-12-31,2002-12-31,2001-12-31,2000-12-31,1999-12-31,1998-12-31,1997-12-31,1996-12-31,1995-12-31,1994-12-31,1993-12-31,
基本每股收益(元),0.83,-0.23,0.53,0.14,-0.4,0.02,-0.29,0.04,-0.04,0.16,0.02,-0.45,0.03,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
每股净资产(元),--,--,--,--,--,--,--,--,1.03,1.08,1,0.89,1.59,1.25,1.22,1.39,1.25,1.11,0.85,0.88,1.61,2.98,2.64,2.37,1.17,--,--,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,0.42,0.07,0.19,0.61,0.06,0.05,0.15,0.05,0.01,0.27,0.09,0.04,0.05,0.37,--,--,--,--,--,
主营业务收入(万元),51730,73839,80467,75681,81466,84253,89572,97747,107577,85818,51996,70696,89047,81564,57637,45855,26181,30459,20816,13417,15114,14717,11164,11467,7360,7033,5849,
主营业务利润(万元),1162,1896,1517,2908,1065,807,1584,3394,4508,4665,4689,1554,4861,5285,5204,5469,3019,3280,2095,382,2394,3535,599,2508,432,111,--,
营业利润(万元),13511,-2873,6873,-2450,-4966,-3940,-3823,-1094,-990,-242,249,-5948,23,945,1484,2604,897,1438,-158,-2057,402,1682,617,1106,441,117,--,
投资收益(万元),15182,-10,69,151,79,1084,199,1037,142,115,249,119,53,38,2,6,508,729,75,-802,539,116,568,101,176,350,--,
营业外收支净额(万元),-893,-240,10,4305,-286,4258,61,1651,519,2310,-58,-79,--,-103,-77,-44,2660,296,134,-4,-11,--,0,--,--,--,--,
利润总额(万元),12618,-3113,6883,1855,-5252,317,-3762,556,-471,2069,191,-6027,348,1168,1521,2566,4065,2472,51,-2864,930,1784,1376,1353,802,461,--,
净利润(万元),11160,-3107,7065,1831,-5277,260,-3806,513,-493,2087,218,-5955,393,850,1075,2026,3636,2453,28,-2861,920,1787,1367,1353,793,440,87,
净利润(扣除非经常性损益后)(万元),-1739,-3304,-3917,-2649,-5123,-5095,-3992,-2059,-1106,-416,-83,-5891,105,659,1045,1897,1402,1474,-106,-2857,920,--,--,--,--,--,--,
经营活动产生的现金流量净额(万元),-1429,-3028,571,2863,-6413,-2009,-775,-2719,5649,916,2512,8098,746,601,2022,507,131,2537,859,327,442,1903,--,--,--,--,--,
现金及现金等价物净增加额(万元),-6576,7424,-5011,8881,-10744,7962,-5841,-7120,7926,2472,-225,4609,967,932,434,95,-920,-232,3015,-684,181,510,--,--,--,--,--,
总资产(万元),30270,64628,57592,72144,60820,71627,70594,69460,68920,60725,58306,58178,66249,61729,53277,50370,43885,30080,26413,23425,29316,21793,18858,15475,8135,5160,--,
流动资产(万元),25094,41459,33795,44892,31362,40349,37432,37878,39730,30028,25167,24981,27667,27301,17152,14080,9645,--,--,0,0,9375,8749,9165,2553,2540,--,
总负债(万元),7798,54101,44088,65705,56213,61743,60607,55503,55148,46293,44985,46221,45022,45033,37019,34827,29925,19755,18541,15272,14333,6379,5224,3245,3673,3685,--,
流动负债(万元),7714,53821,40345,61604,55480,51415,54032,48840,48289,45001,43333,44918,38429,44215,31854,27975,23925,--,--,0,0,6432,5223,3245,3586,2601,--,
股东权益不含少数股东权益(万元),22472,10527,13504,6439,4607,9884,9987,13957,13772,14431,13322,11957,21226,16696,16258,15543,13960,10325,7872,8153,14983,15394,13602,12230,4462,4145,4104,
净资产收益率加权(%),67.06,-26,70.86,33.16,-72.83,2.57,-31.79,3.65,-3.49,15.04,1.73,-32.63,2.03,5.14,6.77,13.94,29.94,26.96,0,-29.86,0,12.33,--,--,--,--,--,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
