报告日期,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,
基本每股收益(元),0.32,0.62,0.94,0.94,0.96,0.55,--,0.22,
每股净资产(元),--,--,6.82,6.08,5.29,--,--,5.04,
每股经营活动产生的现金流量净额(元),--,--,1.38,1.95,1.19,--,--,0.68,
主营业务收入(万元),153771,162016,155710,121664,116691,97580,95179,77467,
主营业务利润(万元),35281,42848,39859,35523,36338,23920,22411,15283,
营业利润(万元),7738,14133,17985,16664,17613,8919,8845,3084,
投资收益(万元),409,--,--,36,160,640,8,--,
营业外收支净额(万元),-44,-78,-267,1824,298,410,48,409,
利润总额(万元),7694,14055,17718,18488,17911,9329,8893,3493,
净利润(万元),7103,12524,15530,15470,15054,7884,6777,3069,
净利润(扣除非经常性损益后)(万元),5991,11882,14601,13989,14720,--,--,2807,
经营活动产生的现金流量净额(万元),23475,18277,22756,32194,19656,13818,12384,9309,
现金及现金等价物净增加额(万元),39922,11109,11163,-5604,4181,1918,3029,-1385,
总资产(万元),393118,288104,233745,193244,127263,112402,109549,101170,
流动资产(万元),190728,95404,80513,61458,50568,48081,41297,35261,
总负债(万元),166328,84092,121159,92874,39902,69510,70398,69555,
流动负债(万元),80642,49557,78834,78334,30180,67014,56347,59302,
股东权益不含少数股东权益(万元),226791,204013,112585,100371,87361,42892,33489,26712,
净资产收益率加权(%),3.49,7.3,14.66,16.59,23.12,20.76,--,12.19,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
