报告日期,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,
基本每股收益(元),1.41,2.32,4.26,2.4,1.06,0.83,2.54,
每股净资产(元),--,--,--,11.77,9.67,27.97,26.49,
每股经营活动产生的现金流量净额(元),--,--,--,1.57,0.44,1.76,1.98,
主营业务收入(万元),157882,113827,93520,59146,40479,37547,42865,
主营业务利润(万元),64663,52888,43041,25846,15546,14482,18883,
营业利润(万元),31484,32814,27377,16229,5952,4327,9476,
投资收益(万元),1232,748,-159,53,58,61,-349,
营业外收支净额(万元),677,2140,-25,-20,40,191,4221,
利润总额(万元),32161,34954,27352,16209,5992,4518,13697,
净利润(万元),27007,30163,23026,12972,4995,3720,11432,
净利润(扣除非经常性损益后)(万元),25134,25113,22803,12986,4922,3511,8002,
经营活动产生的现金流量净额(万元),29217,-4144,-617,8470,2393,2640,2973,
现金及现金等价物净增加额(万元),-20972,-12899,61868,11406,816,1073,-488,
总资产(万元),413452,405973,238705,125693,90505,81858,74970,
流动资产(万元),314990,321346,197493,90954,62943,59804,52655,
总负债(万元),186622,188271,85140,62137,38300,39898,35230,
流动负债(万元),135874,164297,68340,47287,33400,35898,35230,
股东权益不含少数股东权益(万元),219162,208804,153565,63557,52205,41960,39740,
净资产收益率加权(%),12.28,17.85,31.26,22.52,10.32,9.08,34.52,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
