报告日期,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2014-12-31,2013-12-31,
基本每股收益(元),1.53,1.48,0.37,0.16,-0.28,-0.41,
每股净资产(元),7.15,3.61,1.83,1.33,0.76,1.04,
每股经营活动产生的现金流量净额(元),1.07,1.25,0.57,-0.18,-0.1,-0.61,
主营业务收入(万元),28403,25271,11310,7214,1415,685,
主营业务利润(万元),10793,10989,4396,2374,117,328,
营业利润(万元),5540,5873,1430,382,-1168,-1168,
投资收益(万元),70,58,29,24,30,7,
营业外收支净额(万元),188,-95,-40,177,343,52,
利润总额(万元),5729,5778,1391,559,-825,-1116,
净利润(万元),5948,5325,1307,562,-825,-1116,
净利润(扣除非经常性损益后)(万元),5094,6138,1527,394,-1198,-737,
经营活动产生的现金流量净额(万元),4256,4731,2001,-637,-298,-1670,
现金及现金等价物净增加额(万元),9182,4059,1809,-1002,-122,207,
总资产(万元),33949,16777,8920,5888,2655,3167,
流动资产(万元),27930,14565,7254,4424,2148,2790,
总负债(万元),5188,3083,2510,1258,425,112,
流动负债(万元),5079,2989,2445,1258,425,112,
股东权益不含少数股东权益(万元),28516,13613,6416,4643,2230,3055,
净资产收益率加权(%),27.68,52.18,23.64,12.89,-31.23,-61.85,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
