报告日期,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31,2004-12-31,2003-12-31,2002-12-31,2001-12-31,2000-12-31,1999-12-31,
基本每股收益(元),0.13,0.22,0.15,0.21,0.12,0.07,0.28,0.26,0.58,0.41,0.07,0.29,0.4,--,--,--,--,--,--,--,--,
每股净资产(元),--,--,--,--,--,--,--,--,5.76,5.78,4.52,3.94,3.59,3.39,3.05,4.34,4.55,5.03,1.38,1.12,65.71,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,1.34,-0.16,0.29,0.74,1.35,0.29,0.89,0.21,-0.4,0.2,0.29,0,0,
主营业务收入(万元),581959,461316,494300,452978,363039,323250,298064,268057,234976,302910,242886,224081,190491,139599,115610,70198,54659,46482,32521,17026,9852,
主营业务利润(万元),197007,177190,185255,174138,131900,118306,112299,104726,81025,91870,77568,70179,58532,45565,34627,18799,14290,13940,7718,5144,2681,
营业利润(万元),12628,9662,3024,-11131,-8030,-7893,-2092,-26481,-4631,2181,-10514,6771,4903,9459,6159,3911,3288,4535,3245,2372,1653,
投资收益(万元),-914,2866,-339,-115,3379,500,6390,9485,12149,6404,1024,923,1076,-550,195,990,97,-66,138,3,11,
营业外收支净额(万元),2647,2515,4095,23150,19044,13550,13153,36578,20706,13512,5674,5910,9128,125,-12,24,-7,-1,-20,0,0,
利润总额(万元),15275,12177,7120,12018,11014,5658,11061,10096,16075,15693,-4840,12680,14031,10952,7336,5542,4038,4865,3518,2390,1658,
净利润(万元),6183,11081,7490,10231,5909,3354,6373,5805,13024,9284,1447,4661,6475,5446,5153,4676,3608,3958,3011,2022,1255,
净利润(扣除非经常性损益后)(万元),4810,4400,4625,4979,-3172,-212,-1913,-2446,2083,3922,2061,3127,5080,5188,5073,4140,3439,3878,0,0,0,
经营活动产生的现金流量净额(万元),98877,13215,6194,5328,42209,23878,-22151,-23424,30162,-3520,5678,11930,21739,4635,13419,2121,-4068,1687,1558,2,0,
现金及现金等价物净增加额(万元),102634,-14364,-31738,-7920,64045,-19982,45102,-17159,58740,-4405,19613,-9425,22410,6303,5428,-24157,13943,26196,1322,610,0,
总资产(万元),674372,569042,527127,596791,552303,442730,452160,349033,355172,265784,285382,258821,243713,175607,152448,99778,80640,55809,16362,12264,5877,
流动资产(万元),547324,445962,407496,477069,440928,354263,375578,267075,271387,175581,190330,165307,157997,113575,95729,61102,74065,0,--,0,0,
总负债(万元),398195,310361,274774,305960,270955,210311,221403,184033,199939,112321,122646,127258,123347,79297,80662,48124,29107,10513,8779,6190,3906,
流动负债(万元),349247,270883,224787,260128,244801,188774,198220,159619,152619,106087,103392,111808,102516,67575,67244,36764,26539,0,--,0,0,
股东权益不含少数股东权益(万元),227282,219617,210681,206402,197698,191263,189796,126898,130010,130517,101950,63480,57905,54755,46276,43789,45962,42354,7489,6074,1971,
净资产收益率加权(%),2.77,5.16,3.6,5.07,3.05,1.76,4.93,4.4,9.59,7.82,1.73,7.57,11.82,11.36,11.37,9.99,7.98,12.58,43.62,67.81,73.36,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
