报告日期,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31,2004-12-31,2003-12-31,2002-12-31,2001-12-31,2000-12-31,1999-12-31,1998-12-31,
基本每股收益(元),0.05,-0.49,-0.61,0.01,0.22,0.32,0.63,0.32,0.36,0.02,0.12,0.03,0.33,--,--,--,--,--,--,--,--,--,
每股净资产(元),--,--,--,--,--,--,--,--,3.05,3.07,3.05,2.9,2.87,3.29,2.48,2.28,3.56,3.4,3.11,1.25,1.15,0,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,2.1,0.75,1.11,0.99,1.58,0.38,0.44,0.31,0.63,-1.48,0,0.19,0,--,
主营业务收入(万元),740134,713751,690691,656745,715391,461234,441267,357428,321826,141827,190586,180955,151863,46549,33920,17672,10920,36692,10475,9208,7942,5469,
主营业务利润(万元),52321,-15274,-2557,116252,169499,133672,127030,85095,70454,25836,37716,36693,49361,14012,9995,5739,3403,12147,4067,3531,2928,1486,
营业利润(万元),-11113,-90786,-95713,14554,65996,49308,42621,19223,15916,4168,7343,2682,25604,7490,5726,4006,3362,7483,1936,2198,2044,653,
投资收益(万元),60955,18265,617,-2360,3763,2641,6786,11045,5691,3581,4963,4510,3454,2272,890,2008,2058,123,444,-73,0,0,
营业外收支净额(万元),-540,2238,-667,619,2482,-626,-187,3331,3429,-917,-1156,-58,916,-42,-17,-20,101,-212,-60,0,0,0,
利润总额(万元),-11653,-88547,-96381,15173,68478,48682,42434,22554,19344,3251,6188,2624,26519,10496,7769,7453,6283,8234,2378,2544,2043,650,
净利润(万元),6743,-72865,-89568,2144,25862,27696,21589,11032,12316,612,4067,1136,11160,6512,5023,5179,4879,3535,2068,1625,1368,435,
净利润(扣除非经常性损益后)(万元),-44352,-93995,-90382,1932,12255,28000,21347,8781,6228,1563,4972,1185,10759,5980,4414,4555,3147,3677,874,0,0,--,
经营活动产生的现金流量净额(万元),162542,99445,96717,173442,277208,166022,176083,135168,71667,25691,37951,33799,53890,9887,9671,6884,8220,-19199,42,1618,0,--,
现金及现金等价物净增加额(万元),-19059,25060,14274,-25262,13564,1296,3214,-2113,1055,-21272,9461,367,19931,-6762,16109,-676,-2231,-1173,6921,481,0,--,
总资产(万元),1930519,2010604,2032896,2040791,2022975,1501081,1493258,1478116,1399722,826545,624211,605553,525513,389330,262147,94743,71685,132926,56388,26934,24213,25286,
流动资产(万元),211470,206180,192407,147957,153006,125337,110289,113430,141752,93255,187326,144016,76831,36492,34463,13811,14068,--,0,0,0,5710,
总负债(万元),1694536,1760332,1693200,1602389,1580378,1204270,1269494,1280981,1213546,685073,485062,453240,378325,280718,191978,40540,23435,60441,15923,16272,14414,16607,
流动负债(万元),1009425,1130147,985983,815591,642363,498533,555519,486412,426684,275933,217482,181992,134625,63163,40912,28531,17394,--,0,0,0,9518,
股东权益不含少数股东权益(万元),203744,196421,269813,360186,365090,210632,131994,113686,103799,104637,104020,98637,97834,86105,54782,50312,46270,44200,40465,10662,9798,8679,
净资产收益率加权(%),3.37,-31.26,-28.43,0.59,8.98,14.23,17.53,10.13,10.2,0.59,4.04,1.15,12.06,10.15,9.56,10.51,11.13,8.49,6.09,15.43,0,0,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
