报告日期,2020-12-31,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,
基本每股收益(元),0.4,0.41,0.22,0.24,0.62,0.5,0.49,0.46,--,
每股净资产(元),--,--,--,--,3.18,2.71,2.36,1.94,1.79,
每股经营活动产生的现金流量净额(元),--,--,--,--,0.61,0.59,0.41,0.47,0.67,
主营业务收入(万元),133218,117039,81896,45790,33966,29428,26753,22417,20285,
主营业务利润(万元),25956,24425,14696,9723,9964,8145,7727,7101,5675,
营业利润(万元),8735,9698,5294,4990,6345,5046,4930,4690,3787,
投资收益(万元),--,--,95,245,--,--,--,--,5,
营业外收支净额(万元),-46,13,-46,270,96,189,183,153,137,
利润总额(万元),8689,9711,5249,5260,6441,5235,5113,4843,3924,
净利润(万元),7761,7975,4212,4540,5542,4515,4407,4171,3364,
净利润(扣除非经常性损益后)(万元),7074,7814,3742,3789,5460,4354,4251,4041,3243,
经营活动产生的现金流量净额(万元),15565,17662,8841,2499,5459,5308,3687,4258,5016,
现金及现金等价物净增加额(万元),-6921,10209,1512,-2253,337,1056,931,367,-200,
总资产(万元),181170,146194,112251,69912,39006,31126,29285,26814,25967,
流动资产(万元),69015,64363,48612,34766,19542,14371,13468,10731,11045,
总负债(万元),94272,70276,51261,16118,10407,6719,8042,9348,12512,
流动负债(万元),52227,41859,45759,15541,9961,6290,7562,8388,12512,
股东权益不含少数股东权益(万元),81822,70993,56809,52586,28599,24407,21242,17466,13455,
净资产收益率加权(%),10.18,12.83,7.71,9.03,21.09,19.98,22.53,27.21,30.34,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
