报告日期,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31,2004-12-31,
基本每股收益(元),0.27,0.25,0.03,-0.21,0.1,0.2,0.16,0.13,0.16,0.26,0.25,0.28,0.25,0.61,0.47,0.28,
每股净资产(元),--,--,--,--,--,--,--,--,1.73,2.12,1.63,1.86,1.21,3.37,2.77,2.3,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,0.03,0.12,0.21,-0.07,0.05,0.18,0.47,0.4,
主营业务收入(万元),414012,386310,281463,233854,279373,261101,243247,214569,202055,159214,109584,104500,80403,60322,49878,39596,
主营业务利润(万元),118597,109634,81020,67773,81372,78267,69004,60200,58944,53922,41500,37221,32108,25060,19571,13815,
营业利润(万元),29850,28243,3002,-17849,9297,18946,14134,10731,14221,17659,15764,11596,10259,9363,7203,4517,
投资收益(万元),236,155,78,-119,211,-6,372,-114,-42,--,--,--,53,-43,20,--,
营业外收支净额(万元),-577,-1514,927,1227,1918,473,713,1105,561,219,280,--,--,-292,-160,-329,
利润总额(万元),29273,26729,3929,-16621,11215,19419,14847,11837,14782,17878,16044,12764,11465,9070,7043,4189,
净利润(万元),25227,22539,2219,-18495,8464,16212,12249,9412,11606,14133,12893,10577,8531,6068,4717,2803,
净利润(扣除非经常性损益后)(万元),24129,23466,4663,-18826,6775,15769,11661,8459,11124,13937,12655,9609,7725,6265,4826,3025,
经营活动产生的现金流量净额(万元),57438,49092,13129,17589,-8760,14651,15175,9617,2500,7015,10954,-2917,1779,1764,4723,4034,
现金及现金等价物净增加额(万元),15235,1420,-2779,5729,2873,1603,-1642,-5837,-3821,354,6365,8433,-1172,-432,1460,819,
总资产(万元),572393,513261,477821,467989,515485,489946,378321,310609,290703,222200,153229,121990,84039,67845,53277,46916,
流动资产(万元),388011,375933,348960,342822,363624,323968,250682,215009,195939,148987,110276,91133,58525,46940,37250,31781,
总负债(万元),273685,243109,230489,225183,252059,245422,186529,171914,157398,97576,63609,47133,42744,34177,25572,23922,
流动负债(万元),264541,237013,197834,169632,188808,211491,154140,167092,143397,79047,57097,47133,42744,34177,25439,21622,
股东权益不含少数股东权益(万元),283179,258701,235988,235249,256788,238239,185875,132014,126286,119225,84959,74856,41292,33416,27500,22875,
净资产收益率加权(%),9.51,9.13,0.93,-7.45,3.38,8.46,8.29,7.3,9.48,13.9,16.23,16.76,23.04,20.69,19.05,13,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
