报告日期,2020-12-31,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,
基本每股收益(元),0.16,0.33,-2.03,-1.19,0.05,0.12,0.11,-0.14,0.09,0.09,0.37,0.36,0.21,0.2,
每股净资产(元),--,--,--,--,--,--,--,--,--,3.95,3.96,1.88,1.52,1.31,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,--,-0.25,-0.27,0.57,0.29,0.26,
主营业务收入(万元),306321,351481,489913,569773,575433,371611,324265,273505,223422,216955,186063,148632,127818,104257,
主营业务利润(万元),32790,33364,20806,30491,41147,40733,37832,24504,29248,27324,32705,26800,19550,16097,
营业利润(万元),6434,13625,-63512,-58450,-2643,1664,563,-10300,1104,2523,15880,13581,8346,6963,
投资收益(万元),31,313,-490,103,655,314,-638,57,--,--,-1,--,--,-174,
营业外收支净额(万元),143,265,-1364,-235,3634,3343,3495,3071,2663,1756,883,1021,--,--,
利润总额(万元),6577,13890,-64876,-58685,990,5007,4058,-7230,3767,4279,16763,14601,8560,7092,
净利润(万元),6585,13414,-81367,-47853,1921,4717,4257,-5515,3683,3571,13681,12204,7109,6667,
净利润(扣除非经常性损益后)(万元),3585,-12996,-81001,-51248,-1633,1454,1133,-8301,1482,2152,13211,11330,6925,7675,
经营活动产生的现金流量净额(万元),-12246,-3740,47333,2408,34802,3667,17530,11387,15712,-10038,-10889,19155,9927,8645,
现金及现金等价物净增加额(万元),9150,11,-8265,-1426,-3933,5832,-5238,-14985,-1743,-20204,35164,12989,2273,8702,
总资产(万元),209277,217677,273114,412582,414922,405420,365813,333830,315079,301733,255448,148689,124032,95110,
流动资产(万元),151512,151447,169085,276527,283766,273999,239332,218231,211268,209094,188019,112837,94726,80266,
总负债(万元),151410,166252,235192,293028,247205,239330,203472,175774,151109,139733,93306,82825,71390,50399,
流动负债(万元),144256,159150,226601,279201,233658,223414,161768,133284,138395,127178,84271,79380,68908,49484,
股东权益不含少数股东权益(万元),56772,50188,36774,118177,166089,164503,159705,155476,160760,158284,158695,63432,51230,44121,
净资产收益率加权(%),12.31,30.85,-105,-36.3,1.16,2.91,2.72,-3.5,2.31,2.25,11.62,21.29,14.91,15.74,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
