报告日期,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,
基本每股收益(元),1.74,2.13,2.4,2.86,5.78,2.16,1.91,2.04,--,
每股净资产(元),--,--,--,--,11.69,7.19,6.7,6.22,--,
每股经营活动产生的现金流量净额(元),--,--,--,--,3.47,2.91,1.82,2.2,--,
主营业务收入(万元),1425545,1366475,1386392,1232088,1165563,1033362,859170,703659,587183,
主营业务利润(万元),1164389,1103782,1113811,999441,943814,812099,683294,557978,403524,
营业利润(万元),242895,227034,175808,197279,374363,155800,143372,149930,139352,
投资收益(万元),5876,6921,8042,10039,172770,-596,-1325,-1010,26,
营业外收支净额(万元),-1424,-1574,20225,13183,16043,25174,17356,24292,26884,
利润总额(万元),241471,225460,196032,210461,390406,180973,160728,174222,166236,
净利润(万元),194600,188841,163795,176936,353676,132363,116857,125133,122817,
净利润(扣除非经常性损益后)(万元),178261,152908,145304,153850,165707,115797,105226,--,--,
经营活动产生的现金流量净额(万元),262133,205084,196198,166878,212073,178058,111396,134919,155160,
现金及现金等价物净增加额(万元),12554,-48504,-172852,205528,-22983,86220,-26950,-701,87608,
总资产(万元),2118523,2002500,1919670,1867496,1576372,910353,693952,566815,444171,
流动资产(万元),702180,620399,744425,841883,599668,582823,451323,401244,341869,
总负债(万元),739718,616606,597801,596016,850329,465420,265558,164606,164013,
流动负债(万元),612654,492217,556417,565692,697255,456758,262564,164579,163622,
股东权益不含少数股东权益(万元),1363832,1373453,1314226,1260602,715219,440097,409884,380880,262892,
净资产收益率加权(%),14.3,13.95,12.81,21.21,63.78,31.07,29.2,38.66,60.96,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
