报告日期,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31,2004-12-31,
基本每股收益(元),0.63,0.77,0.41,0.34,0.29,0.54,0.49,0.48,0.5,0.43,0.69,0.53,0.95,0.84,0.71,0.43,
每股净资产(元),--,--,--,--,--,--,--,--,3.39,2.99,5.2,4.7,3.6,0,--,--,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,0.31,-2.7,0.89,-1.07,-1.22,0.52,1.66,-0.25,
主营业务收入(万元),280485,197147,275192,262675,188112,176034,157549,121064,109653,84769,74833,42577,41822,30458,24461,30078,
主营业务利润(万元),116287,71863,56010,31229,30408,36049,30067,26654,28692,23449,19266,14036,12588,11262,9963,7016,
营业利润(万元),85158,39528,21900,15074,12137,22969,20800,20405,21144,18384,14871,11303,11346,10236,8588,5346,
投资收益(万元),-26,--,--,--,-74,-144,-17,1209,30,80,--,--,0,0,--,--,
营业外收支净额(万元),-2356,8,72,731,3,234,438,-2,322,2,-18,--,0,0,172,-1,
利润总额(万元),82802,39536,21972,15805,12140,23203,21238,20403,21466,18386,14853,11214,11349,10237,8760,5345,
净利润(万元),32359,24755,13277,10876,9152,17263,15795,15428,16096,13814,11084,8323,7565,6706,5682,3472,
净利润(扣除非经常性损益后)(万元),33742,24502,13198,10334,9177,17088,15467,14769,15855,13813,11098,8389,6965,6270,1956,3328,
经营活动产生的现金流量净额(万元),52114,123105,-4216,-37694,48413,-47730,34750,-657,9809,-86314,14283,-17072,-9752,4166,13255,-1963,
现金及现金等价物净增加额(万元),26003,-42553,81001,63088,29777,-1701,21601,2035,21355,-18829,13476,15404,-7769,20596,-1147,20,
总资产(万元),1583114,1281339,1156800,978059,669736,579273,503779,398933,340659,311898,217165,146244,103921,83262,68216,68661,
流动资产(万元),1558462,1270282,1142497,970696,661805,570551,494629,396781,336439,307625,213880,143964,102802,82278,67280,67463,
总负债(万元),1334788,1081654,969988,804683,504813,428808,367328,276655,230584,214676,133179,70139,74310,45902,37473,42889,
流动负债(万元),1140182,986349,797084,585981,350424,396228,226528,240655,166215,150738,115179,60139,58410,37902,37473,42889,
股东权益不含少数股东权益(万元),215430,186271,174322,164246,154971,149020,134958,120763,108536,95640,83178,75295,28807,37360,30654,25772,
净资产收益率加权(%),15.98,13.41,7.87,6.83,6.02,12.2,12.34,13.43,15.77,15.35,14.04,12.18,25.05,19.72,20.24,14.36,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
