报告日期,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31,2004-12-31,2003-12-31,2002-12-31,
基本每股收益(元),0.39,0.44,0.5,0.3,0.29,0.3,0.23,0.22,0.21,0.26,0.18,0.22,0.17,--,--,--,--,--,
每股净资产(元),--,--,--,--,--,--,--,--,1.99,1.69,1.53,1.42,1.34,1.15,1.04,0,0,0,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,0.32,0.39,0.06,0.15,0.24,0.23,0.23,0,0,0,
主营业务收入(万元),3610163,3804254,3742395,3135918,2951083,2877870,2816230,2838102,2177886,1910545,1654534,1814048,1632840,1248437,1099041,744539,681613,196081,
主营业务利润(万元),1074298,1170085,1162029,917002,954374,1034372,925836,887229,963378,869463,676167,836983,721922,585737,523160,379308,313229,74107,
营业利润(万元),1186908,1426114,1320792,922022,858575,892647,714834,655665,703150,663066,476041,633262,558613,385765,356117,243741,180091,18308,
投资收益(万元),490745,622570,465451,346247,226120,169812,90880,76711,28165,24824,22157,28255,28809,45075,19672,27417,18993,10217,
营业外收支净额(万元),-4505,6662,264736,72167,126580,90261,67307,63120,22777,127164,62301,76608,--,5355,0,0,0,0,
利润总额(万元),1182403,1432776,1585529,994188,985155,982908,782141,718785,725927,790231,538343,709870,559589,436268,376916,252341,202616,25715,
净利润(万元),906228,1027634,1153619,693908,656245,676655,525553,496927,472419,541712,376005,461934,364003,296322,250415,128689,99738,17229,
净利润(扣除非经常性损益后)(万元),861865,759355,636152,610064,568784,622014,510326,481248,447722,432413,315596,391352,352999,281095,0,0,89017,0,
经营活动产生的现金流量净额(万元),617303,571015,961073,203593,966737,1020884,861268,654167,723638,821932,123449,317893,508448,478255,421998,325300,0,0,
现金及现金等价物净增加额(万元),-1003479,768912,803092,69588,232272,379595,-357649,-94908,303010,15093,30977,-146157,-224363,64200,343640,-12348,0,0,
总资产(万元),14217730,14436703,14123490,11678478,9851492,9427950,8861162,8710299,8325751,6589467,6334699,5908129,5554287,5081831,4546735,2934242,2640865,1394890,
流动资产(万元),4039963,4784262,5026564,2374656,1899239,1760543,1878913,1890458,1751052,2255429,2171211,1791781,1490249,1536604,1564667,1088367,969290,374937,
总负债(万元),5138844,6201672,6417844,4854640,3137035,3405210,3276327,3351422,3191389,2443352,2518086,2311114,2106988,2215538,1969420,1374823,1031710,670682,
流动负债(万元),1933927,3167640,3808386,3392304,1851287,2062877,2072202,1616466,1550527,1951231,1700654,1492889,1746394,1754565,1367392,857654,731709,369862,
股东权益不含少数股东权益(万元),8205675,7554800,6948438,6072386,5960820,5456276,4981961,4773587,4532851,3537835,3209296,2987584,2820172,2403878,2121357,1187157,1300309,724208,
净资产收益率加权(%),11.46,14.21,17.92,11.38,11.53,13.13,10.76,10.75,11.38,16.1,12.33,15.62,14.28,13.12,0.07,0,0,0,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
