报告日期,2020-12-31,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31,2004-12-31,2003-12-31,2002-12-31,2001-12-31,2000-12-31,1999-12-31,1998-12-31,1997-12-31,1996-12-31,1995-12-31,1994-12-31,1993-12-31,1992-12-31,
基本每股收益(元),1.12,0.95,0.94,1.29,1.09,0.89,0.81,0.69,0.8,-0.89,0.03,-0.79,-0.36,0.02,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
每股净资产(元),--,--,--,--,--,--,--,--,2.34,-0.99,0.04,-0.18,0.58,0.92,0.92,1.62,1.61,1.59,1.51,1.05,1.02,1.15,1.88,2.99,2.95,2.66,2.57,--,--,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,--,1.27,0.48,0.2,0.38,0.25,0.45,0.49,0.01,0.58,0.33,0.04,0.05,0.1,-0.06,--,--,--,--,--,--,
主营业务收入(万元),781907,708149,687977,602020,508276,424784,406283,342523,300826,60861,51635,59461,63167,55687,35543,31804,31696,23494,20324,10292,10270,12307,15535,17785,18129,21190,19742,22332,--,
主营业务利润(万元),282538,256389,246984,233665,196044,160459,143299,115928,95865,6548,6660,6127,12049,11224,3302,5374,5197,4752,5086,2776,2287,2337,2928,34,-210,1343,4111,1526,--,
营业利润(万元),130519,113881,111201,115040,94931,76090,65557,53621,43234,-13344,-2293,-8234,-920,1657,-4735,89,191,745,1154,-1,-1740,-1373,-4061,112,-150,1426,1158,1902,--,
投资收益(万元),-3,-1010,-1367,194,-1561,1747,93,2450,--,26,33,121,-174,96,-71,327,256,582,578,458,220,257,197,233,134,105,56,0,--,
营业外收支净额(万元),-282,-1539,83,18,3935,3963,4569,3768,3278,-35,3346,-2641,-2629,--,-1858,-13,-5,-1,-12,-38,-19,1285,0,0,0,0,--,--,--,
利润总额(万元),130237,112342,111283,115058,98866,80052,70125,57389,46512,-13379,1054,-10875,-3549,1697,-6663,403,443,1327,1720,419,-1539,169,-3877,406,203,1516,1184,1720,--,
净利润(万元),83214,70405,69885,68499,58177,47230,42987,32818,27913,-13647,429,-12121,-5477,293,-6912,165,230,980,1716,421,-1518,150,-3876,346,159,1394,1075,1571,--,
净利润(扣除非经常性损益后)(万元),69372,66760,64522,63336,56554,44710,39942,28550,25795,-13686,-3190,-9345,-2767,-186,-6537,144,228,880,1697,234,-1518,-1124,--,--,--,--,--,--,--,
经营活动产生的现金流量净额(万元),71959,168095,82747,65031,49771,75818,35169,46069,33063,19524,7430,3038,5859,3916,6884,6406,168,7578,4290,542,607,-1264,-515,--,--,--,--,--,--,
现金及现金等价物净增加额(万元),-48646,47931,18577,8472,1325,-14757,-45548,98145,-7835,-602,-869,-4706,1397,-704,-2608,1137,1984,3070,384,2559,338,-181,-544,--,--,--,--,--,--,
总资产(万元),1084295,1019734,889152,764412,649770,539562,474261,437589,296190,63447,59049,57814,80066,75613,72735,82092,82129,64185,58402,54774,43035,42313,43176,46566,44447,39761,33223,29250,21880,
流动资产(万元),615836,575861,494549,430956,360802,310434,312968,313566,185411,29023,25458,25231,40299,35492,32123,41506,38514,23084,23133,--,0,0,21687,25581,24073,20248,16169,14844,14861,
总负债(万元),344280,360654,291218,236924,196202,148705,124868,143482,130547,76189,55845,58371,68017,59183,56913,61067,61265,43576,38796,41014,29430,27162,25423,24920,23098,25303,19265,16680,9745,
流动负债(万元),240806,327651,270795,222665,187539,142032,120039,112798,120596,67989,55845,55871,67616,59139,56900,48045,51255,41568,20776,--,0,0,25198,14595,14803,16325,11017,12172,8860,
股东权益不含少数股东权益(万元),552748,492354,443206,394198,339611,291713,260174,217031,111780,-15196,632,-2826,8914,14073,14118,21016,20849,20598,19592,13685,13257,14886,17466,21349,21065,14177,13699,12570,12135,
净资产收益率加权(%),15.96,15.21,16.82,17.91,18.13,16.64,18.02,25.6,28.06,--,37.69,0,-48.56,2.03,-37.68,0.79,1.11,4.88,11.84,3.13,-10.83,1,-22.19,--,0,0,--,--,--,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
