报告日期,2020-12-31,2019-12-31,2018-12-31,2017-12-31,2016-12-31,
基本每股收益(元),0.96,1.28,0.5,0.16,0.69,
每股净资产(元),--,7.1,5.56,5.06,2.34,
每股经营活动产生的现金流量净额(元),--,1.37,-1.32,0.08,-0.48,
主营业务收入(万元),50235,36494,32526,29051,17822,
主营业务利润(万元),15909,16552,10046,8813,6363,
营业利润(万元),6619,8266,3519,1383,2934,
投资收益(万元),431,--,--,193,5,
营业外收支净额(万元),-11,-12,-30,-3,114,
利润总额(万元),6609,8254,3489,1380,3048,
净利润(万元),6074,7193,2812,797,2663,
净利润(扣除非经常性损益后)(万元),4791,6142,2076,3247,2562,
经营活动产生的现金流量净额(万元),4322,7795,-7364,442,-1932,
现金及现金等价物净增加额(万元),11968,8245,-7988,14882,736,
总资产(万元),138829,66013,43859,44819,16570,
流动资产(万元),130593,61442,41125,42900,16060,
总负债(万元),29716,24663,11751,15830,7087,
流动负债(万元),29033,23988,10904,15326,6717,
股东权益不含少数股东权益(万元),108010,40278,31110,28291,9484,
净资产收益率加权(%),9.38,20.16,9.47,4.19,45.12,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
