报告日期,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31,2004-12-31,2003-12-31,2002-12-31,2001-12-31,2000-12-31,1999-12-31,1998-12-31,
基本每股收益(元),0.08,-0.39,0.03,0.03,0.05,0.22,0.1,0.08,0.2,0.22,0.15,0.11,0.13,--,--,--,--,--,--,--,--,--,
每股净资产(元),--,--,--,--,--,--,--,2.97,2.93,3.31,3.19,3.13,3.22,1.88,1.8,2.65,2.47,2.43,3.66,1.91,1.62,1.13,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,-0.38,0.29,0.09,0.2,0.28,0.34,0.05,0.29,0.11,0.28,0.15,0,0.33,0,
主营业务收入(万元),300014,263225,263602,318341,318059,362527,376624,400303,346097,265204,218202,189564,149258,120001,110082,80029,74499,56821,44127,35952,28781,29452,
主营业务利润(万元),69053,54129,63989,65132,59655,70562,70061,63259,63676,51453,45039,41866,31047,28398,26169,20544,13966,14434,12825,10583,9565,10193,
营业利润(万元),5145,-15902,4867,1893,3581,9658,3689,2424,9149,8649,6078,4961,4904,5376,5266,4352,720,4070,4057,3512,2660,3308,
投资收益(万元),3790,-1507,3907,3706,3962,2732,1604,1488,4096,4758,1982,1246,2394,1491,1210,-169,-5,226,-5,-5,-1,0,
营业外收支净额(万元),358,2283,-211,2616,796,1454,1370,2438,1442,239,765,353,0,-26,-242,-50,523,-72,-34,0,0,-86,
利润总额(万元),5503,-13619,4656,4509,4378,11113,5060,4862,10591,8888,6843,5313,5016,6842,6233,4133,1239,4224,4018,3440,2549,3228,
净利润(万元),3495,-16479,1171,1462,1883,8531,3815,3227,7642,7042,4713,3715,4031,5848,5308,3487,825,3291,3301,2683,1907,2748,
净利润(扣除非经常性损益后)(万元),-3506,-17966,-3630,-1385,1295,7549,3043,1323,6831,6987,3923,3342,3923,5772,5284,3519,2287,3138,3557,0,0,0,
经营活动产生的现金流量净额(万元),4273,5131,41929,8896,21381,11869,8914,6205,-14882,9355,2961,6408,8953,10280,1363,5358,1994,5152,1843,2755,0,0,
现金及现金等价物净增加额(万元),17702,-33727,36008,-39045,73948,-9524,7740,4240,1299,3060,-17009,12348,17156,6813,-10922,-4572,-5414,1383,24582,3316,0,0,
总资产(万元),474020,451179,472042,471611,474350,411080,404077,405417,397397,348559,315341,300660,249233,192662,166109,146989,105840,93050,79275,42482,38595,39557,
流动资产(万元),314052,289105,311523,313443,323392,254476,253851,258884,254000,212332,183537,182463,142174,101089,88204,84656,79627,0,0,0,0,31387,
总负债(万元),246731,225214,230455,231554,240047,265607,266548,272338,265469,226389,197225,188041,136267,131157,107044,91868,54332,44012,31504,24690,23345,28343,
流动负债(万元),242155,211660,202282,203431,211956,247195,264116,269737,250382,208716,192713,187923,136190,125396,99165,84870,52985,0,0,0,0,27558,
股东权益不含少数股东权益(万元),212136,204417,220916,220236,214438,125255,117985,115427,114206,107403,103424,101664,104600,56258,54027,49677,46228,45433,44981,15849,13424,9346,
净资产收益率加权(%),1.7,-7.75,0.53,0.66,1.12,6.98,3.25,2.76,6.92,6.58,4.52,3.53,4.4,10.61,10.24,7.27,1.73,7.06,10.29,0,0,0,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
