报告日期,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,
基本每股收益(元),0.89,0.73,1.06,0.89,0.74,0.64,0.24,0.86,
每股净资产(元),--,--,--,4.2,--,--,--,--,
每股经营活动产生的现金流量净额(元),--,--,--,1.12,0.29,0.38,1.49,1.59,
主营业务收入(万元),157166,105157,81926,70681,55379,54048,62330,80091,
主营业务利润(万元),34722,25088,19196,16662,13735,13030,11582,15791,
营业利润(万元),14759,11492,8685,5821,4786,4360,1849,5765,
投资收益(万元),399,451,218,142,122,113,-107,--,
营业外收支净额(万元),-20,-2,-1,115,149,111,89,176,
利润总额(万元),14739,11490,8684,5936,4935,4471,1938,5941,
净利润(万元),11486,9354,7145,5025,4166,3618,1335,4381,
净利润(扣除非经常性损益后)(万元),10927,8337,6691,4796,3942,3453,1269,4257,
经营活动产生的现金流量净额(万元),9397,-504,3677,6321,1656,2137,8435,8997,
现金及现金等价物净增加额(万元),10872,-5834,10704,5000,4387,-10216,6992,3695,
总资产(万元),132441,100572,71441,48497,37206,31566,34010,38052,
流动资产(万元),109084,78794,68910,45953,34129,28869,31162,35189,
总负债(万元),58522,36693,19072,24412,16283,13863,19123,24744,
流动负债(万元),58330,36201,18752,24312,16283,13863,19123,24744,
股东权益不含少数股东权益(万元),69748,60504,51926,23714,20215,17406,14635,13300,
净资产收益率加权(%),17.82,16.74,18.22,23.28,22.42,22.58,9.56,42.89,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
