报告日期,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,
基本每股收益(元),0.45,0.67,1,1.03,0.78,1,0.74,0.71,
每股净资产(元),--,--,--,6.28,5.25,5.32,4.39,3.74,
每股经营活动产生的现金流量净额(元),--,--,--,1.35,1.13,0.92,0.98,1.46,
主营业务收入(万元),35523,34670,28643,27273,26877,29006,25081,23115,
主营业务利润(万元),12286,12635,11480,10193,8664,10301,8305,7568,
营业利润(万元),6230,8459,6934,5943,4581,5965,4390,4287,
投资收益(万元),1019,1081,864,214,141,106,-19,-11,
营业外收支净额(万元),-146,467,39,180,42,7,48,-7,
利润总额(万元),6085,8926,6973,6122,4623,5972,4438,4280,
净利润(万元),5298,7768,6072,5244,3986,5083,3774,3633,
净利润(扣除非经常性损益后)(万元),4261,6240,5204,4910,3878,4935,3684,3627,
经营活动产生的现金流量净额(万元),13292,2987,6309,6869,5787,4716,5015,7470,
现金及现金等价物净增加额(万元),-4427,6975,-2097,2492,-1523,1656,-1279,-435,
总资产(万元),79991,78509,66498,41709,36086,37428,32742,25240,
流动资产(万元),48611,48958,47160,25658,19225,20313,18983,14421,
总负债(万元),14860,17453,11313,9686,9302,10287,10361,6184,
流动负债(万元),13449,16480,10578,8937,8536,10011,10087,6184,
股东权益不含少数股东权益(万元),65131,61056,55185,32023,26784,26655,21572,17798,
净资产收益率加权(%),8.26,13.4,13.88,17.83,15.18,21.08,19.17,22.74,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
