报告日期,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31,
基本每股收益(元),-0.33,0.01,-0.14,0.23,0.65,0.69,-0.11,0.07,0.22,0.39,0.29,0.25,0.39,--,--,
每股净资产(元),--,--,--,--,--,--,--,--,6.32,6.3,3.01,2.72,2.48,--,--,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,-0.2,0.49,0.74,0.34,0.71,--,--,
主营业务收入(万元),82922,144372,177124,375553,328889,311044,22428,15639,17845,20871,16211,14507,11048,8221,5482,
主营业务利润(万元),1543,21278,27928,68580,54773,44246,3364,2761,4443,6505,5152,4420,4300,3083,2476,
营业利润(万元),-34530,2064,-17850,32580,36536,28013,-2612,-2459,1048,2850,2234,1990,2960,1781,1353,
投资收益(万元),--,--,54,--,--,--,--,--,--,--,--,--,--,--,--,
营业外收支净额(万元),-685,124,-655,-23,53,68,879,3328,1616,688,292,-71,8,-45,-25,
利润总额(万元),-35215,2188,-18505,32557,36589,28081,-1732,869,2663,3538,2526,1919,2968,1736,1478,
净利润(万元),-34144,757,-14843,23976,27001,20614,-1593,758,2334,3240,2316,1978,2966,1549,1309,
净利润(扣除非经常性损益后)(万元),-33732,-319,-14290,23993,26961,20563,-2297,-2044,842,2546,1950,1955,2881,--,--,
经营活动产生的现金流量净额(万元),-3285,-3116,-53275,4373,-2412,-5415,1991,-2879,-2152,5292,5930,2689,5705,-570,1065,
现金及现金等价物净增加额(万元),-2872,2114,-61838,45686,3950,252,-28,-9127,-14834,29847,1634,-88,3458,-987,1223,
总资产(万元),393494,460195,491947,598861,414113,257022,94992,86395,77129,77358,48185,44799,32990,22201,17194,
流动资产(万元),365222,434398,460162,575970,397458,242534,50226,50151,51438,53341,24864,20585,18780,12064,10199,
总负债(万元),329693,363487,396650,489767,322864,188647,27513,17004,9528,9951,24073,23003,13173,7854,4402,
流动负债(万元),329281,363487,396650,489767,322864,188647,26383,15831,5801,5977,18447,22403,13173,7854,4402,
股东权益不含少数股东权益(万元),62956,95863,94422,109095,91249,68375,65483,67290,67602,67407,24112,21796,19818,14347,12792,
净资产收益率加权(%),-42.9,0.76,-14.68,23.81,33.83,38.84,-2.42,1.13,3.46,11.7,10.09,9.51,16.88,--,--,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
